C3+ + H --> C2+(2p2 1Se) + H+
X = Energy (eV),Y = Cross section (cm2)
1.200000e+03,3.190000e-16
1.644000e+03,2.870000e-16
2.328000e+03,2.400000e-16
3.132000e+03,2.400000e-16
4.368000e+03,2.440000e-16
6.324000e+03,2.370000e-16
7.884000e+03,2.070000e-16
9.576000e+03,1.840000e-16
1.089600e+04,1.870000e-16
1.308000e+04,1.580000e-16
1.620000e+04,1.290000e-16
2.016000e+04,1.060000e-16
2.436000e+04,9.010000e-17
2.892000e+04,7.000000e-17
3.684000e+04,5.280000e-17
4.860000e+04,3.860000e-17
5.892000e+04,2.960000e-17
8.064000e+04,2.300000e-17
1.189200e+05,1.560000e-17
