C4+(1s2) + H(1s) --> C3+ + H+
X = Energy (eV),Y = Cross section (cm2)
7.656000e+01,2.900000e-16
1.872000e+02,7.000000e-16
3.096000e+02,1.110000e-15
4.704000e+02,1.570000e-15
6.612000e+02,1.710000e-15
8.100000e+02,2.060000e-15
9.852000e+02,2.450000e-15
1.284000e+03,7.400000e-16
1.728000e+03,8.800000e-16
2.592000e+03,3.200000e-16
2.784000e+03,1.900000e-16
3.180000e+03,2.900000e-16
4.080000e+03,3.800000e-16
5.064000e+03,8.100000e-16
5.172000e+03,8.900000e-16
5.592000e+03,6.800000e-16
6.204000e+03,5.100000e-16
6.744000e+03,8.100000e-16
9.312000e+03,8.300000e-16
1.215600e+04,3.010000e-15
