Fe5+ + H(1s) --> Fe5+ + H+
X = Energy (eV),Y = Cross section (cm2)
5.600000e+05,6.200000e-18
1.400000e+06,5.300000e-17
2.800000e+06,2.070000e-16
3.920000e+06,5.540000e-16
4.480000e+06,7.050000e-16
5.600000e+06,1.027000e-15
8.400000e+06,1.117000e-15
1.120000e+07,1.012000e-15
1.680000e+07,6.950000e-16
2.240000e+07,5.410000e-16
2.800000e+07,4.220000e-16
3.360000e+07,3.390000e-16
3.920000e+07,2.830000e-16
4.480000e+07,2.340000e-16
5.040000e+07,1.960000e-16
5.600000e+07,1.720000e-16
