H+ + He+ --> H + He2+
X = Energy (eV),Y = Cross section (cm2)
8.200000e+03,1.550000e-18
9.300000e+03,2.210000e-18
1.040000e+04,3.910000e-18
1.100000e+04,4.650000e-18
1.200000e+04,6.230000e-18
1.350000e+04,6.860000e-18
1.500000e+04,1.065000e-17
1.650000e+04,1.072000e-17
1.800000e+04,1.467000e-17
2.020000e+04,1.764000e-17
2.200000e+04,1.891000e-17
2.460000e+04,2.024000e-17
2.700000e+04,2.344000e-17
3.020000e+04,2.278000e-17
3.300000e+04,2.443000e-17
3.640000e+04,2.517000e-17
4.070000e+04,2.456000e-17
4.530000e+04,2.155000e-17
4.930000e+04,2.129000e-17
5.450000e+04,2.027000e-17
6.020000e+04,1.745000e-17
6.710000e+04,1.565000e-17
7.400000e+04,1.369000e-17
8.120000e+04,1.129000e-17
8.980000e+04,8.740000e-18
9.970000e+04,7.680000e-18
