H+ + H(1s) --> H(n=2) + H+
X = Energy (eV),Y = Cross section (cm2)
4.000000e+04,3.940000e-17
5.000000e+04,2.010000e-17
6.000000e+04,1.110000e-17
7.000000e+04,6.460000e-18
8.000000e+04,3.960000e-18
9.000000e+04,2.520000e-18
1.000000e+05,1.660000e-18
1.250000e+05,6.590000e-19
1.500000e+05,2.980000e-19
2.000000e+05,7.980000e-20
3.000000e+05,1.120000e-20
4.000000e+05,2.600000e-21
5.000000e+05,8.140000e-22
6.000000e+05,3.100000e-22
7.000000e+05,1.360000e-22
8.000000e+05,6.610000e-23
9.000000e+05,3.490000e-23
1.000000e+06,1.960000e-23
2.000000e+06,4.170000e-25
3.000000e+06,4.240000e-26
4.000000e+06,8.290000e-27
5.000000e+06,2.330000e-27
6.000000e+06,8.210000e-28
7.000000e+06,3.400000e-28
8.000000e+06,1.580000e-28
9.000000e+06,8.070000e-29
1.000000e+07,4.410000e-29
