H+ + H(1s) --> H(4s) + H+
X = Energy (eV),Y = Cross section (cm2)
4.000000e+04,3.860000e-18
5.000000e+04,2.020000e-18
6.000000e+04,1.130000e-18
7.000000e+04,6.650000e-19
8.000000e+04,4.110000e-19
9.000000e+04,2.640000e-19
1.000000e+05,1.750000e-19
1.250000e+05,7.020000e-20
1.500000e+05,3.210000e-20
2.000000e+05,8.730000e-21
3.000000e+05,1.250000e-21
4.000000e+05,2.940000e-22
5.000000e+05,9.300000e-23
6.000000e+05,3.570000e-23
7.000000e+05,1.570000e-23
8.000000e+05,7.670000e-24
9.000000e+05,4.060000e-24
1.000000e+06,2.290000e-24
2.000000e+06,4.930000e-26
3.000000e+06,5.030000e-27
4.000000e+06,9.840000e-28
5.000000e+06,2.760000e-28
6.000000e+06,9.740000e-29
7.000000e+06,4.030000e-29
8.000000e+06,1.880000e-29
9.000000e+06,9.550000e-30
1.000000e+07,5.220000e-30
