H+ + H(1s) --> H(5p) + H+
X = Energy (eV),Y = Cross section (cm2)
4.000000e+04,8.870000e-19
5.000000e+04,4.710000e-19
6.000000e+04,2.620000e-19
7.000000e+04,1.520000e-19
8.000000e+04,9.170000e-20
9.000000e+04,5.730000e-20
1.000000e+05,3.690000e-20
1.250000e+05,1.370000e-20
1.500000e+05,5.830000e-21
2.000000e+05,1.390000e-21
3.000000e+05,1.610000e-22
4.000000e+05,3.250000e-23
5.000000e+05,9.090000e-24
6.000000e+05,3.160000e-24
7.000000e+05,1.290000e-24
8.000000e+05,5.880000e-25
9.000000e+05,2.940000e-25
1.000000e+06,1.580000e-25
2.000000e+06,2.670000e-27
3.000000e+06,2.510000e-28
4.000000e+06,4.780000e-29
5.000000e+06,1.330000e-29
6.000000e+06,4.730000e-30
7.000000e+06,1.980000e-30
8.000000e+06,9.320000e-31
9.000000e+06,4.810000e-31
1.000000e+07,2.660000e-31
