H+ + H --> H(n=6) + H+
X = Energy (eV),Y = Cross section (cm2)
2.500000e+04,6.760000e-18
3.500000e+04,2.920000e-18
5.000000e+04,1.030000e-18
7.500000e+00,2.520000e-19
1.000000e+05,8.110000e-20
1.250000e+00,3.140000e-20
1.500000e+05,1.390000e-20
2.000000e+05,3.620000e-21
2.500000e+05,1.220000e-21
3.000000e+05,4.870000e-22
4.000000e+05,1.110000e-22
5.000000e+05,3.440000e-23
6.000000e+05,1.300000e-23
7.500000e+05,3.880000e-24
8.500000e+05,1.960000e-24
1.000000e+06,8.010000e-25
1.250000e+06,2.330000e-25
1.500000e+06,8.440000e-26
2.000000e+06,1.680000e-26
2.500000e+06,4.780000e-27
3.500000e+06,7.120000e-28
5.000000e+06,9.370000e-29
7.500000e+06,9.270000e-30
1.000000e+07,1.790000e-30
