H+ + C(1D) --> H + C+(2P)
X = Energy (eV),Y = Cross section (cm2)
4.302000e+00,6.886000e-23
4.840000e+00,1.055000e-22
5.378000e+00,1.290000e-22
5.916000e+00,1.322000e-22
6.453000e+00,1.477000e-22
6.991000e+00,1.711000e-22
7.529000e+00,2.156000e-22
8.067000e+00,2.896000e-22
8.605000e+00,3.909000e-22
9.142000e+00,3.866000e-22
9.680000e+00,5.325000e-22
1.022000e+01,6.573000e-22
1.076000e+01,7.300000e-22
1.613000e+01,3.234000e-21
2.151000e+01,5.183000e-21
2.689000e+00,5.247000e-21
3.227000e+01,6.169000e-21
3.764000e+01,7.861000e-21
4.302000e+01,8.096000e-21
4.840000e+01,1.068000e-20
5.378000e+01,1.222000e-20
6.453000e+01,2.577000e-20
7.529000e+01,4.219000e-20
8.605000e+01,1.177000e-19
9.680000e+01,2.725000e-19
1.076000e+02,3.792000e-19
1.613000e+02,5.290000e-19
2.151000e+02,6.243000e-19
2.689000e+02,9.030000e-19
3.227000e+02,1.795000e-18
3.764000e+02,2.456000e-18
4.302000e+02,3.190000e-18
4.840000e+02,4.234000e-18
5.378000e+02,5.375000e-18
6.453000e+02,9.612000e-18
7.529000e+02,1.707000e-17
8.605000e+02,2.565000e-17
9.680000e+02,3.242000e-17
1.076000e+03,3.716000e-17
