H+ + Li(2p) --> H + Li+
X = Energy (eV),Y = Cross section (cm2)
1.030000e+03,9.540000e-15
1.520000e+03,8.350000e-15
2.090000e+03,7.960000e-15
3.080000e+03,7.450000e-15
4.160000e+03,6.710000e-15
6.110000e+03,5.600000e-15
8.250000e+03,4.540000e-15
1.020000e+04,3.860000e-15
1.530000e+04,2.720000e-15
2.030000e+04,2.100000e-15
2.510000e+04,1.740000e-15
4.380000e+04,1.080000e-15
6.450000e+04,7.380000e-16
1.010000e+05,4.950000e-16
1.580000e+05,2.880000e-16
2.330000e+05,2.140000e-16
4.070000e+05,1.280000e-16
