H+(3s) + Li --> Li+
X = Energy (eV),Y = Cross section (cm2)
1.000000e+03,4.536000e-14
1.155000e+03,4.459000e-14
1.334000e+03,4.329000e-14
1.540000e+03,4.145000e-14
1.778000e+03,3.909000e-14
2.054000e+03,3.629000e-14
2.371000e+03,3.316000e-14
2.738000e+03,2.981000e-14
3.162000e+03,2.641000e-14
3.652000e+03,2.308000e-14
4.217000e+03,1.995000e-14
4.870000e+03,1.711000e-14
5.623000e+03,1.464000e-14
6.494000e+03,1.255000e-14
7.499000e+03,1.081000e-14
8.660000e+03,9.400000e-15
1.000000e+04,8.242000e-15
1.155000e+04,7.278000e-15
1.334000e+04,6.456000e-15
1.540000e+04,5.737000e-15
1.778000e+04,5.097000e-15
2.054000e+04,4.522000e-15
2.371000e+04,4.005000e-15
2.738000e+04,3.542000e-15
3.162000e+04,3.127000e-15
3.652000e+04,2.757000e-15
4.217000e+04,2.428000e-15
4.870000e+04,2.136000e-15
5.623000e+04,1.877000e-15
6.494000e+04,1.648000e-15
7.499000e+04,1.446000e-15
8.660000e+04,1.268000e-15
1.000000e+05,1.112000e-15
1.155000e+05,9.740000e-16
1.334000e+05,8.529000e-16
1.540000e+05,7.466000e-16
1.778000e+05,6.533000e-16
2.054000e+05,5.715000e-16
2.371000e+05,4.998000e-16
2.738000e+05,4.370000e-16
3.162000e+05,3.820000e-16
3.652000e+05,3.338000e-16
4.217000e+05,2.917000e-16
4.870000e+05,2.549000e-16
5.623000e+05,2.226000e-16
6.494000e+05,1.945000e-16
7.499000e+05,1.698000e-16
8.660000e+05,1.483000e-16
1.000000e+06,1.295000e-16
