H+ + Ne --> H+ + Ne+
X = Energy (eV),Y = Cross section (cm2)
1.000000e+01,5.370000e+00
1.500000e+01,6.070000e+00
2.000000e+01,7.800000e+00
2.500000e+01,8.790000e+00
3.000000e+01,1.010000e+01
3.500000e+01,1.150000e+01
4.000000e+01,1.120000e+01
5.000000e+01,1.280000e+01
6.000000e+01,1.310000e+01
7.000000e+01,1.420000e+01
8.000000e+01,1.450000e+01
9.000000e+01,1.440000e+01
1.000000e+02,1.430000e+01
1.100000e+02,1.480000e+01
1.200000e+02,1.450000e+01
1.300000e+02,1.400000e+01
1.400000e+02,1.370000e+01
