H2+ + CO2 --> H2
X = Energy (eV),Y = Cross section (cm2)
6.160000e+01,2.390000e-15
9.680000e+01,2.210000e-15
1.318000e+02,2.090000e-15
1.736000e+02,1.970000e-15
2.160000e+02,1.880000e-15
2.480000e+02,1.810000e-15
2.800000e+02,1.770000e-15
3.260000e+02,1.710000e-15
3.800000e+02,1.660000e-15
4.380000e+02,1.620000e-15
5.240000e+02,1.560000e-15
6.040000e+02,1.530000e-15
6.840000e+02,1.500000e-15
7.820000e+02,1.480000e-15
9.040000e+02,1.460000e-15
9.980000e+02,1.430000e-15
1.116000e+03,1.410000e-15
1.214000e+03,1.400000e-15
1.302000e+03,1.390000e-15
1.396000e+03,1.380000e-15
