He2+ + h --> He+
X = Energy (eV),Y = Cross section (cm2)
7.000000e+03,2.700000e-16
9.000000e+03,6.000000e-16
1.000000e+04,7.300000e-16
1.200000e+04,9.600000e-16
1.280000e+04,1.030000e-15
1.452000e+04,1.180000e-15
1.500000e+04,1.170000e-15
1.892000e+04,1.630000e-15
2.000000e+04,1.720000e-15
2.200000e+04,1.840000e-15
2.500000e+04,1.900000e-15
3.500000e+04,1.880000e-15
4.600000e+04,1.880000e-15
5.500000e+04,1.850000e-15
7.000000e+04,1.830000e-15
8.200000e+04,1.790000e-15
1.040000e+05,1.620000e-15
1.150000e+05,1.540000e-15
1.260000e+05,1.560000e-15
1.450000e+05,1.210000e-15
