He2+ + H(1s) --> He+(2p) + H+
X = Energy (eV),Y = Cross section (cm2)
4.000000e+03,1.820000e-16
8.000000e+03,4.720000e-16
1.200000e+04,6.580000e-16
1.600000e+04,8.060000e-16
2.000000e+04,9.000000e-16
2.800000e+04,9.660000e-16
4.000000e+04,9.890000e-16
6.000000e+04,9.150000e-16
8.000000e+04,7.550000e-16
1.000000e+05,5.860000e-16
1.200000e+05,4.430000e-16
1.400000e+05,3.320000e-16
1.600000e+05,2.490000e-16
1.800000e+05,1.890000e-16
2.000000e+05,1.440000e-16
2.200000e+05,1.100000e-16
2.520000e+05,7.330000e-17
3.000000e+05,4.110000e-17
3.600000e+05,2.120000e-17
4.000000e+05,1.410000e-17
4.400000e+05,9.570000e-18
5.200000e+05,4.660000e-18
6.000000e+05,2.490000e-18
6.800000e+05,1.430000e-18
8.000000e+05,6.670000e-19
1.200000e+06,7.350000e-20
1.600000e+06,1.800000e-20
