He2+ + H(1s) --> He+(4s) + H+
X = Energy (eV),Y = Cross section (cm2)
4.000000e+03,2.210000e-20
8.000000e+03,3.090000e-19
1.200000e+04,1.340000e-19
1.600000e+04,4.050000e-19
2.000000e+04,4.760000e-19
2.800000e+04,1.290000e-18
4.000000e+04,2.560000e-18
6.000000e+04,5.010000e-18
8.000000e+04,1.180000e-17
1.000000e+05,1.960000e-17
1.200000e+05,2.230000e-17
1.400000e+05,2.150000e-17
1.600000e+05,2.050000e-17
1.800000e+05,1.820000e-17
2.000000e+05,1.480000e-17
2.200000e+05,1.170000e-17
2.520000e+05,8.660000e-18
3.000000e+05,5.620000e-18
3.600000e+05,3.430000e-18
4.000000e+05,2.670000e-18
4.400000e+05,1.980000e-18
5.200000e+05,9.810000e-19
6.000000e+05,5.870000e-19
6.800000e+05,3.100000e-19
8.000000e+05,1.560000e-19
1.200000e+06,2.380000e-20
1.600000e+06,6.090000e-21
