He2+ + H(1s) --> He+(4f) + H+
X = Energy (eV),Y = Cross section (cm2)
4.000000e+03,2.190000e-19
8.000000e+03,1.300000e-18
1.200000e+04,9.640000e-19
1.600000e+04,9.960000e-19
2.000000e+04,1.210000e-18
2.800000e+04,2.410000e-18
4.000000e+04,4.080000e-18
6.000000e+04,3.210000e-18
8.000000e+04,2.020000e-18
1.000000e+05,1.600000e-18
1.200000e+05,1.040000e-18
1.400000e+05,1.080000e-18
1.600000e+05,1.230000e-18
1.800000e+05,1.100000e-18
2.000000e+05,8.830000e-19
2.200000e+05,6.900000e-19
2.520000e+05,4.400000e-19
3.000000e+05,2.340000e-19
3.600000e+05,1.520000e-19
4.000000e+05,1.040000e-19
4.400000e+05,6.600000e-20
5.200000e+05,3.410000e-20
6.000000e+05,2.250000e-20
6.800000e+05,8.620000e-21
8.000000e+05,3.890000e-21
1.200000e+06,7.940000e-21
1.600000e+06,8.030000e-22
