He2+ + H(1s) --> He+(5g) + H+
X = Energy (eV),Y = Cross section (cm2)
4.000000e+03,5.210000e-21
8.000000e+03,1.080000e-19
1.200000e+04,2.120000e-19
1.600000e+04,1.850000e-19
2.000000e+04,1.580000e-19
2.800000e+04,4.830000e-19
4.000000e+04,9.700000e-19
6.000000e+04,5.660000e-19
8.000000e+04,3.070000e-19
1.000000e+05,2.380000e-19
1.200000e+05,3.850000e-19
1.400000e+05,2.590000e-19
1.600000e+05,1.400000e-19
1.800000e+05,9.240000e-20
2.000000e+05,5.720000e-20
2.200000e+05,4.130000e-20
2.520000e+05,6.340000e-20
3.000000e+05,1.170000e-19
3.600000e+05,3.240000e-20
4.000000e+05,9.910000e-21
4.400000e+05,9.950000e-21
5.200000e+05,1.470000e-20
6.000000e+05,1.350000e-20
6.800000e+05,4.350000e-21
8.000000e+05,1.350000e-21
1.200000e+06,2.070000e-21
1.600000e+06,9.480000e-23
