He+ + CH4 --> He
X = Energy (eV),Y = Cross section (cm2)
7.000000e+01,1.070000e-15
1.708000e+02,1.080000e-15
2.660000e+02,1.090000e-15
2.892000e+02,1.110000e-15
3.164000e+02,1.120000e-15
3.400000e+02,1.130000e-15
3.668000e+02,1.150000e-15
4.000000e+02,1.180000e-15
4.400000e+02,1.220000e-15
4.680000e+02,1.240000e-15
5.000000e+02,1.270000e-15
5.400000e+02,1.300000e-15
5.720000e+02,1.340000e-15
5.960000e+02,1.350000e-15
6.240000e+02,1.370000e-15
6.680000e+02,1.400000e-15
6.880000e+02,1.410000e-15
7.320000e+02,1.430000e-15
8.000000e+02,1.450000e-15
8.720000e+02,1.470000e-15
9.400000e+02,1.480000e-15
1.048000e+03,1.500000e-15
1.184000e+03,1.530000e-15
1.280000e+03,1.540000e-15
1.400000e+03,1.560000e-15
