Kr36+ + H(n=1) --> Kr35+(total) + H+
X = Energy (eV),Y = Cross section (cm2)
8.400000e+01,4.570000e-14
4.200000e+02,2.220000e-14
8.400000e+02,1.880000e-14
2.100000e+03,1.910000e-14
4.200000e+03,1.850000e-14
6.300000e+03,1.850000e-14
8.400000e+03,1.880000e-14
1.470000e+04,1.850000e-14
2.100000e+04,1.850000e-14
8.400000e+04,1.880000e-14
2.100000e+05,1.850000e-14
4.200000e+05,1.880000e-14
8.400000e+05,1.850000e-14
2.100000e+06,1.790000e-14
4.200000e+06,1.760000e-14
8.400000e+06,1.580000e-14
