Li3+ + H(1s) --> Li2+(2s) + H+
X = Energy (eV),Y = Cross section (cm2)
6.300000e+05,6.380000e-18
7.000000e+05,5.270000e-18
8.750000e+05,3.380000e-18
1.050000e+06,2.220000e-18
1.400000e+06,1.020000e-18
2.100000e+06,2.730000e-19
2.800000e+06,9.190000e-20
3.500000e+06,3.680000e-20
4.200000e+06,1.670000e-20
4.900000e+06,8.330000e-21
5.600000e+06,4.490000e-21
6.300000e+06,2.570000e-21
7.000000e+06,1.540000e-21
1.400000e+07,4.590000e-23
2.100000e+07,5.290000e-24
2.800000e+07,1.110000e-24
3.500000e+07,3.240000e-25
4.200000e+07,1.180000e-25
4.900000e+07,4.990000e-26
5.600000e+07,2.360000e-26
6.300000e+07,1.220000e-26
7.000000e+07,6.730000e-27
