Li3+ + H(1s) --> Li2+(2p) + H+
X = Energy (eV),Y = Cross section (cm2)
6.300000e+05,5.070000e-17
7.000000e+05,3.640000e-17
8.750000e+05,1.720000e-17
1.050000e+06,8.840000e-18
1.400000e+06,2.830000e-18
2.100000e+06,4.750000e-19
2.800000e+06,1.190000e-19
3.500000e+06,3.860000e-20
4.200000e+06,1.490000e-20
4.900000e+06,6.480000e-21
5.600000e+06,3.120000e-21
6.300000e+06,1.620000e-21
7.000000e+06,8.930000e-22
1.400000e+07,1.580000e-23
2.100000e+07,1.390000e-24
2.800000e+07,2.460000e-25
3.500000e+07,6.410000e-26
4.200000e+07,2.140000e-26
4.900000e+07,8.500000e-27
5.600000e+07,3.830000e-27
6.300000e+07,1.900000e-27
7.000000e+07,1.020000e-27
