Li3+ + H(1s) --> Li2+(3d) + H+
X = Energy (eV),Y = Cross section (cm2)
2.800000e+05,4.520000e-16
3.500000e+05,2.210000e-16
4.200000e+05,1.180000e-16
4.900000e+05,6.750000e-17
5.600000e+05,4.060000e-17
6.300000e+05,2.540000e-17
7.000000e+05,1.640000e-17
8.750000e+05,6.210000e-18
1.050000e+06,2.670000e-18
1.400000e+06,6.470000e-19
2.100000e+06,7.420000e-20
2.800000e+06,1.440000e-20
3.500000e+06,3.880000e-21
4.200000e+06,1.300000e-21
4.900000e+06,5.090000e-22
5.600000e+06,2.250000e-22
6.300000e+06,1.090000e-22
7.000000e+06,5.710000e-23
1.400000e+07,8.500000e-25
2.100000e+07,7.850000e-26
2.800000e+07,1.500000e-26
3.500000e+07,4.250000e-27
4.200000e+07,1.520000e-27
4.900000e+07,6.430000e-28
5.600000e+07,3.060000e-28
6.300000e+07,1.590000e-28
7.000000e+07,8.850000e-29
