Li3+ + H(1s) --> Li2+(n=4) + H+
X = Energy (eV),Y = Cross section (cm2)
2.800000e+05,5.690000e-16
3.500000e+05,2.940000e-16
4.200000e+05,1.650000e-16
4.900000e+05,9.820000e-17
5.600000e+05,6.150000e-17
6.300000e+05,4.000000e-17
7.000000e+05,2.690000e-17
8.750000e+05,1.120000e-17
1.050000e+06,5.240000e-18
1.400000e+06,1.490000e-18
2.100000e+06,2.240000e-19
2.800000e+06,5.420000e-20
3.500000e+06,1.740000e-20
4.200000e+06,6.760000e-21
4.900000e+06,3.000000e-21
5.600000e+06,1.480000e-21
6.300000e+06,7.850000e-22
7.000000e+06,4.440000e-22
1.400000e+07,9.820000e-24
2.100000e+07,1.020000e-24
2.800000e+07,2.010000e-25
3.500000e+07,5.710000e-26
4.200000e+07,2.030000e-26
4.900000e+07,8.480000e-27
5.600000e+07,3.970000e-27
6.300000e+07,2.030000e-27
7.000000e+07,1.120000e-27
