Li3+ + H(1s) --> Li2+(6f) + H+
X = Energy (eV),Y = Cross section (cm2)
2.800000e+05,5.130000e-17
3.500000e+05,2.570000e-17
4.200000e+05,1.360000e-17
4.900000e+05,7.610000e-18
5.600000e+05,4.430000e-18
6.300000e+05,2.670000e-18
7.000000e+05,1.670000e-18
8.750000e+05,5.750000e-19
1.050000e+06,2.270000e-19
1.400000e+06,4.780000e-20
2.100000e+06,4.610000e-21
2.800000e+06,8.340000e-22
3.500000e+06,2.210000e-22
4.200000e+06,7.520000e-23
4.900000e+06,3.050000e-23
5.600000e+06,1.410000e-23
6.300000e+06,7.190000e-24
7.000000e+06,3.950000e-24
1.400000e+07,8.230000e-26
2.100000e+07,8.810000e-27
2.800000e+07,1.810000e-27
3.500000e+07,5.320000e-28
4.200000e+07,1.950000e-28
4.900000e+07,8.370000e-29
5.600000e+07,4.020000e-29
6.300000e+07,2.100000e-29
7.000000e+07,1.180000e-29
