Mg2+ + H2 --> Mg+
X = Energy (eV),Y = Cross section (cm2)
1.999200e+03,5.700000e-18
3.000000e+03,6.800000e-18
4.008000e+03,7.600000e-18
4.992000e+03,8.300000e-18
6.000000e+03,9.100000e-18
7.008000e+03,1.100000e-17
7.992000e+03,1.100000e-17
9.000000e+03,1.200000e-17
1.000800e+04,1.700000e-17
1.200000e+04,1.700000e-17
1.399200e+04,1.800000e-17
1.600800e+04,2.100000e-17
1.800000e+04,2.500000e-17
1.999200e+04,2.800000e-17
2.251200e+04,3.200000e-17
2.496000e+04,3.600000e-17
2.760000e+04,3.900000e-17
3.000000e+04,4.000000e-17
3.504000e+04,4.700000e-17
4.008000e+04,5.100000e-17
