Mg2+ + H --> Mg+ + H+
X = Energy (eV),Y = Cross section (cm2)
1.999200e+03,2.500000e-18
3.000000e+03,6.400000e-18
4.008000e+03,1.000000e-17
4.992000e+03,1.500000e-17
6.000000e+03,2.300000e-17
7.008000e+03,3.400000e-17
7.992000e+03,4.000000e-17
9.000000e+03,5.500000e-17
1.000800e+04,7.100000e-17
1.200000e+04,1.100000e-16
1.399200e+04,1.300000e-16
1.600800e+04,1.700000e-16
1.800000e+04,2.100000e-16
1.999200e+04,2.300000e-16
2.248800e+04,2.500000e-16
2.496000e+04,2.800000e-16
2.760000e+04,3.100000e-16
3.000000e+04,3.400000e-16
3.504000e+04,3.900000e-16
4.008000e+04,4.300000e-16
