N5+ + H(1s) --> N4+(n=3) + H+
X = Energy (eV),Y = Cross section (cm2)
7.012600e+03,1.157000e-16
8.138200e+03,1.416000e-16
9.345000e+03,1.701000e-16
1.084580e+04,2.083000e-16
1.272180e+04,2.534000e-16
1.500800e+04,3.103000e-16
1.836800e+04,3.847000e-16
2.235800e+04,4.711000e-16
2.765000e+04,5.659000e-16
3.330600e+04,6.545000e-16
4.187400e+04,7.523000e-16
5.070800e+04,8.065000e-16
5.947200e+04,8.116000e-16
7.240800e+04,7.715000e-16
9.100000e+04,7.197000e-16
1.143800e+05,6.756000e-16
1.363320e+05,6.587000e-16
1.695400e+05,6.629000e-16
2.119600e+05,6.545000e-16
2.553600e+05,6.342000e-16
2.931600e+05,6.382000e-16
3.420200e+05,6.756000e-16
3.764600e+05,6.885000e-16
4.165000e+05,6.671000e-16
5.070800e+05,5.915000e-16
6.010200e+05,5.050000e-16
7.012600e+05,4.311000e-16
8.096200e+05,3.477000e-16
9.247000e+05,2.717000e-16
1.050560e+06,2.109000e-16
1.174600e+06,1.597000e-16
1.313480e+06,1.186000e-16
1.477000e+06,8.646000e-17
1.650600e+06,6.222000e-17
1.846600e+06,4.478000e-17
2.052400e+06,3.203000e-17
2.270800e+06,2.334000e-17
2.486400e+06,1.745000e-17
2.780400e+06,1.224000e-17
