N5+ + H(1s) --> N4+(4p) + H+
X = Energy (eV),Y = Cross section (cm2)
6.963600e+03,5.162000e-16
8.356600e+03,5.308000e-16
9.853200e+03,5.508000e-16
1.189580e+04,5.664000e-16
1.444800e+04,5.667000e-16
1.734600e+04,5.467000e-16
2.032800e+04,5.225000e-16
2.396800e+04,5.133000e-16
2.843400e+04,4.951000e-16
3.353000e+04,4.690000e-16
3.955000e+04,4.283000e-16
4.635400e+04,3.947000e-16
5.499200e+04,3.671000e-16
6.561800e+04,3.477000e-16
7.648200e+04,3.293000e-16
9.289000e+04,3.035000e-16
1.114960e+05,2.722000e-16
1.338400e+05,2.332000e-16
1.615600e+05,1.962000e-16
1.929200e+05,1.727000e-16
2.328200e+05,1.563000e-16
2.861600e+05,1.441000e-16
3.395000e+05,1.268000e-16
3.956400e+05,1.097000e-16
4.667600e+05,8.976000e-17
5.408200e+05,7.279000e-17
6.267800e+05,5.797000e-17
7.135800e+05,4.658000e-17
8.076600e+05,3.642000e-17
9.361800e+05,2.672000e-17
1.065960e+06,1.925000e-17
1.206520e+06,1.505000e-17
1.390060e+06,1.145000e-17
1.621200e+06,8.475000e-18
1.877400e+06,6.627000e-18
2.137800e+06,5.042000e-18
2.448600e+06,3.907000e+01
2.723000e+06,3.139000e+01
