N5+ + H(1s) --> N4+(3s) + H+
X = Energy (eV),Y = Cross section (cm2)
7.107800e+03,3.438000e-18
8.113000e+03,4.993000e-18
9.259600e+03,7.250000e-18
1.065680e+04,1.026000e-17
1.236760e+04,1.397000e-17
1.471400e+04,1.927000e-17
1.808800e+04,2.558000e-17
2.206400e+04,3.438000e-17
2.646000e+04,4.504000e-17
3.200400e+04,5.678000e-17
4.033400e+04,7.250000e-17
4.838400e+04,9.377000e-17
5.852000e+04,1.244000e-16
7.196000e+04,1.490000e-16
8.702400e+04,1.610000e-16
1.070160e+05,1.673000e-16
1.315860e+05,1.529000e-16
1.604400e+05,1.310000e-16
2.023000e+05,1.066000e-16
2.549400e+05,9.022000e-17
3.239600e+05,7.732000e-17
3.698800e+05,6.976000e-17
4.327400e+05,5.534000e-17
4.981200e+05,4.064000e-17
5.828200e+05,2.946000e-17
6.819400e+05,2.055000e-17
8.045800e+05,1.434000e-17
9.650200e+05,9.746000e-18
1.167180e+06,6.798000e-18
1.411200e+06,4.504000e-18
1.722000e+06,2.871000e-18
2.014600e+06,1.854000e-18
2.356200e+06,1.167000e-18
2.735600e+06,6.541000e-19
