Ne10+ + He --> Ne8+(3l5l') + He2+
X = Energy (eV),Y = Cross section (cm2)
1.748000e+01,2.759000e-17
2.078000e+01,3.650000e-17
2.322000e+01,4.829000e-17
2.738000e+01,6.264000e-17
3.156000e+01,7.664000e-17
3.492000e+01,8.395000e-17
3.830000e+01,8.902000e-17
4.340000e+01,8.961000e-17
4.852000e+01,8.675000e-17
5.450000e+01,8.236000e-17
6.046000e+01,7.974000e-17
6.812000e+01,7.975000e-17
7.406000e+01,8.080000e-17
8.256000e+01,7.977000e-17
8.768000e+01,7.673000e-17
9.536000e+01,7.144000e-17
1.064600e+02,6.397000e-17
1.132800e+02,6.114000e-17
1.218000e+02,5.996000e-17
1.328400e+02,5.998000e-17
1.447600e+02,5.960000e-17
1.609200e+02,5.771000e-17
1.762400e+02,5.662000e-17
1.898400e+02,5.663000e-17
2.051400e+02,5.702000e-17
2.230000e+02,5.854000e-17
2.323400e+02,5.932000e-17
2.442400e+02,5.972000e-17
2.536200e+02,5.820000e-17
2.655400e+02,5.562000e-17
2.774400e+02,5.420000e-17
2.885000e+02,5.387000e-17
3.021200e+02,5.318000e-17
3.165800e+02,5.150000e-17
3.268000e+02,4.890000e-17
