O8+ + H(1s) --> O7+(3s) + H+
X = Energy (eV),Y = Cross section (cm2)
8.000000e+03,2.360000e-19
1.600000e+04,1.720000e-22
3.200000e+04,6.960000e-22
4.800000e+04,1.130000e-20
6.400000e+04,3.970000e-20
1.000000e+05,2.700000e-19
1.440000e+05,5.550000e-19
2.000000e+05,1.400000e-18
4.000000e+05,4.320000e-18
8.000000e+05,6.220000e-18
1.200000e+06,4.290000e-18
1.600000e+06,2.490000e-18
2.400000e+06,1.120000e-18
3.200000e+06,5.050000e-19
6.400000e+06,5.160000e-20
9.600000e+06,9.670000e-21
1.280000e+07,7.740000e-21
