O+(2P) + H2O --> O + H2O+
X = Energy (eV),Y = Cross section (cm2)
2.992000e-01,1.050000e-14
3.952000e-01,9.030000e-15
4.944000e-01,7.570000e-15
5.952000e-01,7.180000e-15
7.936000e-01,6.900000e-15
9.808000e-01,6.550000e-15
1.488000e+00,6.310000e-15
1.984000e+00,5.880000e-15
2.480000e+00,5.680000e-15
2.976000e+00,4.930000e-15
3.456000e+00,5.400000e-15
3.968000e+00,5.520000e-15
4.432000e+00,5.170000e-15
7.888000e+00,4.890000e-15
9.840000e+00,4.140000e-15
1.491200e+01,4.110000e-15
1.984000e+01,3.910000e-15
2.432000e+01,3.590000e-15
3.904000e+01,2.600000e-15
4.832000e+01,2.640000e-15
