Ti2+ + H2 --> Ti+
X = Energy (eV),Y = Cross section (cm2)
3.000000e+03,3.200000e-17
3.998400e+03,3.800000e-17
4.992000e+03,4.200000e-17
6.000000e+03,5.200000e-17
6.960000e+03,5.300000e-17
8.016000e+03,5.300000e-17
9.024000e+03,6.600000e-17
9.984000e+03,7.500000e-17
1.099200e+04,9.300000e-17
1.200000e+04,1.020000e-16
1.300800e+04,9.700000e-17
1.401600e+04,1.100000e-16
1.598400e+04,1.210000e-16
1.800000e+04,1.320000e-16
2.001600e+04,1.350000e-16
2.251200e+04,1.430000e-16
2.500800e+04,1.570000e-16
3.000000e+04,1.730000e-16
3.499200e+04,1.810000e-16
3.998400e+04,1.900000e-16
