3He2+ + CO --> 3He+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
9.990000e-01,8.830000e-17,0.000000e+00,0.000000e+00
2.001000e+00,7.860000e-17,0.000000e+00,0.000000e+00
3.999000e+00,6.610000e-17,0.000000e+00,0.000000e+00
9.999000e+00,7.700000e-17,0.000000e+00,0.000000e+00
2.000000e+01,9.010000e-17,0.000000e+00,0.000000e+00
3.999000e+01,1.090000e-16,0.000000e+00,0.000000e+00
9.999000e+01,1.640000e-16,0.000000e+00,0.000000e+00
2.000000e+02,1.900000e-16,0.000000e+00,0.000000e+00
3.999000e+02,3.400000e-16,0.000000e+00,0.000000e+00
9.999000e+02,5.100000e-16,0.000000e+00,0.000000e+00
2.000000e+03,5.950000e-16,0.000000e+00,0.000000e+00
3.999000e+03,6.630000e-16,0.000000e+00,0.000000e+00
