3He2+ + N2 --> 3He
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.041000e+00,6.780000e-15,0.000000e+00,0.000000e+00
2.061000e+00,5.340000e-15,0.000000e+00,0.000000e+00
4.080000e+00,3.620000e-15,0.000000e+00,0.000000e+00
1.023000e+01,2.600000e-15,0.000000e+00,0.000000e+00
2.019000e+01,1.930000e-15,0.000000e+00,0.000000e+00
3.990000e+01,1.390000e-15,0.000000e+00,0.000000e+00
1.032000e+02,8.870000e-16,0.000000e+00,0.000000e+00
2.040000e+02,6.200000e-16,0.000000e+00,0.000000e+00
4.050000e+02,4.330000e-16,0.000000e+00,0.000000e+00
9.810000e+02,3.510000e-16,0.000000e+00,0.000000e+00
2.001000e+03,3.730000e-16,0.000000e+00,0.000000e+00
3.960000e+03,2.930000e-16,0.000000e+00,0.000000e+00
