Ar+ (2P1/2) + O2 --> O++O+Ar
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
7.440000e+00,7.240000e-18,0.000000e+00,0.000000e+00
8.000000e+00,1.550000e-17,0.000000e+00,0.000000e+00
8.490000e+00,2.380000e-17,0.000000e+00,0.000000e+00
8.970000e+00,3.820000e-17,0.000000e+00,0.000000e+00
9.410000e+00,5.170000e-17,0.000000e+00,0.000000e+00
1.000000e+01,6.930000e-17,0.000000e+00,0.000000e+00
1.090000e+01,9.200000e-17,0.000000e+00,0.000000e+00
1.200000e+01,1.210000e-16,0.000000e+00,0.000000e+00
1.300000e+01,1.410000e-16,0.000000e+00,0.000000e+00
1.380000e+01,1.620000e-16,0.000000e+00,0.000000e+00
1.480000e+01,1.680000e-16,0.000000e+00,0.000000e+00
1.510000e+01,1.790000e-16,0.000000e+00,0.000000e+00
1.590000e+01,1.830000e-16,0.000000e+00,0.000000e+00
1.790000e+01,2.170000e-16,0.000000e+00,0.000000e+00
1.990000e+01,2.180000e-16,0.000000e+00,0.000000e+00
2.480000e+01,2.240000e-16,0.000000e+00,0.000000e+00
2.970000e+01,2.220000e-16,0.000000e+00,0.000000e+00
3.470000e+01,1.950000e-16,0.000000e+00,0.000000e+00
3.990000e+01,1.740000e-16,0.000000e+00,0.000000e+00
4.450000e+01,1.580000e-16,0.000000e+00,0.000000e+00
4.990000e+01,1.480000e-16,0.000000e+00,0.000000e+00
5.910000e+01,1.260000e-16,0.000000e+00,0.000000e+00
6.920000e+01,1.140000e-16,0.000000e+00,0.000000e+00
7.900000e+01,1.040000e-16,0.000000e+00,0.000000e+00
8.920000e+01,8.890000e-17,0.000000e+00,0.000000e+00
9.940000e+01,8.890000e-17,0.000000e+00,0.000000e+00
1.200000e+02,8.680000e-17,0.000000e+00,0.000000e+00
1.380000e+02,8.790000e-17,0.000000e+00,0.000000e+00
1.580000e+02,8.790000e-17,0.000000e+00,0.000000e+00
1.780000e+02,8.890000e-17,0.000000e+00,0.000000e+00
1.970000e+02,8.170000e-17,0.000000e+00,0.000000e+00
2.170000e+02,8.170000e-17,0.000000e+00,0.000000e+00
2.420000e+02,8.270000e-17,0.000000e+00,0.000000e+00
2.540000e+02,9.410000e-17,0.000000e+00,0.000000e+00
2.780000e+02,1.000000e-16,0.000000e+00,0.000000e+00
2.950000e+02,1.040000e-16,0.000000e+00,0.000000e+00
