Ar+ (2P3/2) + N2 --> N++N+Ar
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.525714e+01,1.370000e-17,0.000000e+00,0.000000e+00
3.035714e+01,4.740000e-17,0.000000e+00,0.000000e+00
3.497143e+01,8.540000e-17,0.000000e+00,0.000000e+00
3.982857e+01,1.230000e-16,0.000000e+00,0.000000e+00
4.492857e+01,1.390000e-16,0.000000e+00,0.000000e+00
5.002857e+01,1.550000e-16,0.000000e+00,0.000000e+00
5.950000e+01,1.620000e-16,0.000000e+00,0.000000e+00
6.824286e+01,1.630000e-16,0.000000e+00,0.000000e+00
7.941429e+01,1.620000e-16,0.000000e+00,0.000000e+00
9.010000e+01,1.550000e-16,0.000000e+00,0.000000e+00
1.005429e+02,1.470000e-16,0.000000e+00,0.000000e+00
1.197286e+02,1.320000e-16,0.000000e+00,0.000000e+00
1.374571e+02,1.230000e-16,0.000000e+00,0.000000e+00
1.602857e+02,1.230000e-16,0.000000e+00,0.000000e+00
1.802000e+02,1.150000e-16,0.000000e+00,0.000000e+00
2.027857e+02,1.150000e-16,0.000000e+00,0.000000e+00
2.234286e+02,1.220000e-16,0.000000e+00,0.000000e+00
2.525714e+02,1.230000e-16,0.000000e+00,0.000000e+00
2.744286e+02,1.150000e-16,0.000000e+00,0.000000e+00
3.035714e+02,1.150000e-16,0.000000e+00,0.000000e+00
