Ar+ (2P3/2) + CO --> C++O+Ar
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.425571e+01,3.350000e-18,0.000000e+00,0.000000e+00
1.661143e+01,7.810000e-18,0.000000e+00,0.000000e+00
2.015714e+01,4.350000e-17,0.000000e+00,0.000000e+00
2.550000e+01,1.160000e-16,0.000000e+00,0.000000e+00
3.011429e+01,1.730000e-16,0.000000e+00,0.000000e+00
3.497143e+01,2.070000e-16,0.000000e+00,0.000000e+00
3.958571e+01,2.250000e-16,0.000000e+00,0.000000e+00
4.492857e+01,2.350000e-16,0.000000e+00,0.000000e+00
5.027143e+01,2.350000e-16,0.000000e+00,0.000000e+00
5.950000e+01,2.210000e-16,0.000000e+00,0.000000e+00
6.897143e+01,2.040000e-16,0.000000e+00,0.000000e+00
8.062857e+01,1.820000e-16,0.000000e+00,0.000000e+00
8.840000e+01,1.730000e-16,0.000000e+00,0.000000e+00
9.932857e+01,1.650000e-16,0.000000e+00,0.000000e+00
1.199714e+02,1.610000e-16,0.000000e+00,0.000000e+00
1.403714e+02,1.570000e-16,0.000000e+00,0.000000e+00
1.585857e+02,1.580000e-16,0.000000e+00,0.000000e+00
1.792286e+02,1.580000e-16,0.000000e+00,0.000000e+00
1.986571e+02,1.710000e-16,0.000000e+00,0.000000e+00
2.217286e+02,1.630000e-16,0.000000e+00,0.000000e+00
2.452857e+02,1.630000e-16,0.000000e+00,0.000000e+00
2.720000e+02,1.750000e-16,0.000000e+00,0.000000e+00
3.011429e+02,1.820000e-16,0.000000e+00,0.000000e+00
