Ar+ (2P3/2) + CO2 --> ArC+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.361182e+01,2.400000e-21,0.000000e+00,0.000000e+00
1.580727e+01,1.200000e-21,0.000000e+00,0.000000e+00
1.788818e+01,2.400000e-21,0.000000e+00,0.000000e+00
1.966364e+01,1.920000e-20,0.000000e+00,0.000000e+00
2.386364e+01,4.810000e-20,0.000000e+00,0.000000e+00
2.558182e+01,8.420000e-20,0.000000e+00,0.000000e+00
2.940000e+01,1.900000e-19,0.000000e+00,0.000000e+00
3.169091e+01,2.240000e-19,0.000000e+00,0.000000e+00
3.360000e+01,2.720000e-19,0.000000e+00,0.000000e+00
3.570000e+01,3.310000e-19,0.000000e+00,0.000000e+00
3.837273e+01,3.490000e-19,0.000000e+00,0.000000e+00
4.104545e+01,4.160000e-19,0.000000e+00,0.000000e+00
4.543636e+01,3.820000e-19,0.000000e+00,0.000000e+00
5.173636e+01,3.400000e-19,0.000000e+00,0.000000e+00
6.070909e+01,2.810000e-19,0.000000e+00,0.000000e+00
7.407273e+01,1.560000e-19,0.000000e+00,0.000000e+00
9.908182e+01,6.610000e-20,0.000000e+00,0.000000e+00
