C+ + H2 --> C+H2+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
4.092000e+01,0.000000e+00,0.000000e+00,0.000000e+00
1.416000e+02,6.760000e-17,0.000000e+00,0.000000e+00
4.632000e+02,2.000000e-16,0.000000e+00,0.000000e+00
1.003000e+03,2.040000e-16,0.000000e+00,0.000000e+00
1.680000e+03,1.980000e-16,0.000000e+00,0.000000e+00
2.436000e+03,1.730000e-16,0.000000e+00,0.000000e+00
5.364000e+03,1.700000e-16,0.000000e+00,0.000000e+00
7.056000e+03,1.660000e-16,0.000000e+00,0.000000e+00
1.058000e+04,2.060000e-16,0.000000e+00,0.000000e+00
1.260000e+04,2.360000e-16,0.000000e+00,0.000000e+00
1.500000e+04,2.730000e-16,0.000000e+00,0.000000e+00
1.980000e+04,3.670000e-16,0.000000e+00,0.000000e+00
2.376000e+04,4.020000e-16,0.000000e+00,0.000000e+00
2.712000e+04,4.420000e-16,0.000000e+00,0.000000e+00
3.168000e+04,4.750000e-16,0.000000e+00,0.000000e+00
3.564000e+04,5.000000e-16,0.000000e+00,0.000000e+00
3.960000e+04,5.000000e-16,0.000000e+00,0.000000e+00
