C+ + CO2 --> CO++CO
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
8.000000e-01,8.290000e-16,0.000000e+00,0.000000e+00
8.900000e-01,7.120000e-16,0.000000e+00,0.000000e+00
1.010000e+00,5.400000e-16,0.000000e+00,0.000000e+00
1.190000e+00,4.790000e-16,0.000000e+00,0.000000e+00
1.390000e+00,4.170000e-16,0.000000e+00,0.000000e+00
1.900000e+00,2.970000e-16,0.000000e+00,0.000000e+00
2.100000e+00,2.690000e-16,0.000000e+00,0.000000e+00
2.410000e+00,2.270000e-16,0.000000e+00,0.000000e+00
3.000000e+00,1.760000e-16,0.000000e+00,0.000000e+00
3.350000e+00,1.540000e-16,0.000000e+00,0.000000e+00
3.960000e+00,1.190000e-16,0.000000e+00,0.000000e+00
4.300000e+00,1.150000e-16,0.000000e+00,0.000000e+00
5.140000e+00,9.500000e-17,0.000000e+00,0.000000e+00
6.230000e+00,7.900000e-17,0.000000e+00,0.000000e+00
7.160000e+00,7.500000e-17,0.000000e+00,0.000000e+00
9.830000e+00,5.500000e-17,0.000000e+00,0.000000e+00
1.192000e+01,4.000000e-17,0.000000e+00,0.000000e+00
1.507000e+01,2.600000e-17,0.000000e+00,0.000000e+00
1.778000e+01,2.400000e-17,0.000000e+00,0.000000e+00
1.985000e+01,2.000000e-17,0.000000e+00,0.000000e+00
2.186000e+01,1.600000e-17,0.000000e+00,0.000000e+00
2.509000e+01,1.600000e-17,0.000000e+00,0.000000e+00
3.002000e+01,1.200000e-17,0.000000e+00,0.000000e+00
