C3H6 + H+ --> (total)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e-01,1.273000e-14,0.000000e+00,0.000000e+00
1.175000e-01,1.104000e-14,0.000000e+00,0.000000e+00
1.380000e-01,1.017000e-14,0.000000e+00,0.000000e+00
1.622000e-01,9.768000e-15,0.000000e+00,0.000000e+00
1.906000e-01,9.652000e-15,0.000000e+00,0.000000e+00
2.239000e-01,9.700000e-15,0.000000e+00,0.000000e+00
2.630000e-01,9.830000e-15,0.000000e+00,0.000000e+00
3.090000e-01,9.983000e-15,0.000000e+00,0.000000e+00
3.631000e-01,1.012000e-14,0.000000e+00,0.000000e+00
4.266000e-01,1.020000e-14,0.000000e+00,0.000000e+00
5.012000e-01,1.022000e-14,0.000000e+00,0.000000e+00
5.888000e-01,1.016000e-14,0.000000e+00,0.000000e+00
6.918000e-01,1.003000e-14,0.000000e+00,0.000000e+00
8.128000e-01,9.831000e-15,0.000000e+00,0.000000e+00
9.550000e-01,9.581000e-15,0.000000e+00,0.000000e+00
1.122000e+00,9.294000e-15,0.000000e+00,0.000000e+00
1.318000e+00,8.984000e-15,0.000000e+00,0.000000e+00
1.549000e+00,8.666000e-15,0.000000e+00,0.000000e+00
1.820000e+00,8.351000e-15,0.000000e+00,0.000000e+00
2.138000e+00,8.049000e-15,0.000000e+00,0.000000e+00
2.512000e+00,7.767000e-15,0.000000e+00,0.000000e+00
2.951000e+00,7.509000e-15,0.000000e+00,0.000000e+00
3.467000e+00,7.280000e-15,0.000000e+00,0.000000e+00
4.074000e+00,7.079000e-15,0.000000e+00,0.000000e+00
4.786000e+00,6.906000e-15,0.000000e+00,0.000000e+00
5.623000e+00,6.761000e-15,0.000000e+00,0.000000e+00
6.607000e+00,6.641000e-15,0.000000e+00,0.000000e+00
7.763000e+00,6.543000e-15,0.000000e+00,0.000000e+00
9.120000e+00,6.465000e-15,0.000000e+00,0.000000e+00
1.072000e+01,6.403000e-15,0.000000e+00,0.000000e+00
1.259000e+01,6.352000e-15,0.000000e+00,0.000000e+00
1.479000e+01,6.309000e-15,0.000000e+00,0.000000e+00
1.738000e+01,6.270000e-15,0.000000e+00,0.000000e+00
2.042000e+01,6.230000e-15,0.000000e+00,0.000000e+00
2.399000e+01,6.187000e-15,0.000000e+00,0.000000e+00
2.818000e+01,6.136000e-15,0.000000e+00,0.000000e+00
