D+ + CH4 --> D+CH4+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
3.000000e+02,2.700000e-15,2.700000e-16,2.700000e-16
6.000000e+02,2.600000e-15,2.600000e-16,2.600000e-16
1.000000e+03,2.500000e-15,2.500000e-16,2.500000e-16
2.000000e+03,2.300000e-15,2.300000e-16,2.300000e-16
4.000000e+03,2.150000e-15,2.200000e-16,2.200000e-16
6.000000e+03,2.000000e-15,2.000000e-16,2.000000e-16
1.000000e+04,1.800000e-15,1.800000e-16,1.800000e-16
2.000000e+04,1.450000e-15,1.500000e-16,1.500000e-16
4.000000e+04,1.050000e-15,1.100000e-16,1.100000e-16
7.000000e+04,6.700000e-16,7.000000e-17,7.000000e-17
