D+ (v=5,j=1) + H2 --> D+H2+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
5.000000e+00,3.485300e-15,2.560000e-17,2.560000e-17
6.000000e+00,3.521600e-15,2.550000e-17,2.550000e-17
7.000000e+00,3.602200e-15,2.510000e-17,2.510000e-17
8.000000e+00,3.660300e-15,2.510000e-17,2.510000e-17
9.000000e+00,3.646800e-15,2.510000e-17,2.510000e-17
1.000000e+01,3.666900e-15,2.490000e-17,2.490000e-17
1.100000e+01,3.592700e-15,2.510000e-17,2.510000e-17
1.200000e+01,3.547200e-15,2.510000e-17,2.510000e-17
1.300000e+01,3.402700e-15,2.510000e-17,2.510000e-17
1.400000e+01,3.354400e-15,2.500000e-17,2.500000e-17
1.500000e+01,3.280500e-15,2.480000e-17,2.480000e-17
1.600000e+01,3.242100e-15,2.480000e-17,2.480000e-17
1.800000e+01,3.138700e-15,2.420000e-17,2.420000e-17
2.000000e+01,3.201100e-15,2.430000e-17,2.430000e-17
2.400000e+01,3.186800e-15,2.390000e-17,2.390000e-17
2.800000e+01,3.271600e-15,2.330000e-17,2.330000e-17
3.200000e+01,3.382900e-15,2.290000e-17,2.290000e-17
3.600000e+01,3.530400e-15,2.270000e-17,2.270000e-17
4.000000e+01,3.605500e-15,2.230000e-17,2.230000e-17
