D+ (v=5,j=1) + H2 --> H++HD
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
5.000000e+00,8.530000e-17,4.000000e-18,4.000000e-18
6.000000e+00,4.340000e-17,2.600000e-18,2.600000e-18
7.000000e+00,2.950000e-17,1.800000e-18,1.800000e-18
8.000000e+00,2.450000e-17,1.600000e-18,1.600000e-18
9.000000e+00,1.900000e-17,1.300000e-18,1.300000e-18
1.000000e+01,2.010000e-17,1.300000e-18,1.300000e-18
1.100000e+01,1.720000e-17,1.100000e-18,1.100000e-18
1.200000e+01,2.190000e-17,1.200000e-18,1.200000e-18
1.300000e+01,2.440000e-17,1.300000e-18,1.300000e-18
1.400000e+01,2.510000e-17,1.300000e-18,1.300000e-18
1.500000e+01,2.510000e-17,1.300000e-18,1.300000e-18
1.600000e+01,2.780000e-17,1.400000e-18,1.400000e-18
1.800000e+01,2.540000e-17,1.300000e-18,1.300000e-18
2.000000e+01,2.390000e-17,1.300000e-18,1.300000e-18
2.400000e+01,2.020000e-17,1.200000e-18,1.200000e-18
2.800000e+01,2.120000e-17,1.200000e-18,1.200000e-18
3.200000e+01,1.950000e-17,1.100000e-18,1.100000e-18
3.600000e+01,1.580000e-17,1.000000e-18,1.000000e-18
4.000000e+01,1.070000e-17,8.000000e-19,8.000000e-19
