D2+ (v=0) + H2 --> HD2++H
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.320000e-01,1.915000e-15,0.000000e+00,0.000000e+00
2.598000e-01,1.644000e-15,0.000000e+00,0.000000e+00
3.000000e-01,1.321000e-15,0.000000e+00,0.000000e+00
3.464000e-01,1.053000e-15,0.000000e+00,0.000000e+00
4.000000e-01,8.482000e-16,0.000000e+00,0.000000e+00
4.619000e-01,7.031000e-16,0.000000e+00,0.000000e+00
5.334000e-01,6.099000e-16,0.000000e+00,0.000000e+00
6.160000e-01,5.500000e-16,0.000000e+00,0.000000e+00
7.113000e-01,4.949000e-16,0.000000e+00,0.000000e+00
8.214000e-01,4.273000e-16,0.000000e+00,0.000000e+00
9.485000e-01,3.523000e-16,0.000000e+00,0.000000e+00
1.095000e+00,2.818000e-16,0.000000e+00,0.000000e+00
1.265000e+00,2.219000e-16,0.000000e+00,0.000000e+00
1.461000e+00,1.734000e-16,0.000000e+00,0.000000e+00
1.687000e+00,1.350000e-16,0.000000e+00,0.000000e+00
1.840000e+00,1.160000e-16,0.000000e+00,0.000000e+00
