H+ + CO --> H
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.540000e+01,4.690000e-16,0.000000e+00,0.000000e+00
1.010000e+02,8.860000e-16,0.000000e+00,0.000000e+00
4.420000e+02,2.690000e-15,0.000000e+00,0.000000e+00
9.680000e+02,2.690000e-15,0.000000e+00,0.000000e+00
1.650000e+03,2.680000e-15,0.000000e+00,0.000000e+00
1.700000e+03,2.730000e-15,0.000000e+00,0.000000e+00
2.540000e+03,2.690000e-15,0.000000e+00,0.000000e+00
4.930000e+03,2.660000e-15,0.000000e+00,0.000000e+00
7.330000e+03,2.460000e-15,0.000000e+00,0.000000e+00
9.620000e+03,2.110000e-15,0.000000e+00,0.000000e+00
1.210000e+04,2.010000e-15,0.000000e+00,0.000000e+00
2.110000e+04,1.380000e-15,0.000000e+00,0.000000e+00
2.490000e+04,1.150000e-15,0.000000e+00,0.000000e+00
3.190000e+04,9.950000e-16,0.000000e+00,0.000000e+00
3.820000e+04,8.860000e-16,0.000000e+00,0.000000e+00
