H + CO --> H+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.010000e+05,4.620000e-16,0.000000e+00,0.000000e+00
2.030000e+05,3.630000e-16,0.000000e+00,0.000000e+00
3.030000e+05,3.210000e-16,0.000000e+00,0.000000e+00
4.060000e+05,2.650000e-16,0.000000e+00,0.000000e+00
5.490000e+05,2.290000e-16,0.000000e+00,0.000000e+00
7.950000e+05,1.720000e-16,0.000000e+00,0.000000e+00
1.010000e+06,1.520000e-16,0.000000e+00,0.000000e+00
1.260000e+06,1.310000e-16,0.000000e+00,0.000000e+00
1.490000e+06,1.110000e-16,0.000000e+00,0.000000e+00
1.720000e+06,1.010000e-16,0.000000e+00,0.000000e+00
1.980000e+06,9.380000e-17,0.000000e+00,0.000000e+00
2.230000e+06,8.510000e-17,0.000000e+00,0.000000e+00
2.480000e+06,7.920000e-17,0.000000e+00,0.000000e+00
