H+ + H2 (J=1) --> H2(J=3)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.334000e-01,4.961000e-16,0.000000e+00,0.000000e+00
1.540000e-01,8.606000e-16,0.000000e+00,0.000000e+00
1.778000e-01,1.161000e-15,0.000000e+00,0.000000e+00
2.054000e-01,1.277000e-15,0.000000e+00,0.000000e+00
2.371000e-01,1.226000e-15,0.000000e+00,0.000000e+00
2.738000e-01,1.215000e-15,0.000000e+00,0.000000e+00
3.162000e-01,1.270000e-15,0.000000e+00,0.000000e+00
3.652000e-01,1.356000e-15,0.000000e+00,0.000000e+00
4.217000e-01,1.453000e-15,0.000000e+00,0.000000e+00
4.870000e-01,1.552000e-15,0.000000e+00,0.000000e+00
5.623000e-01,1.647000e-15,0.000000e+00,0.000000e+00
6.494000e-01,1.737000e-15,0.000000e+00,0.000000e+00
7.499000e-01,1.817000e-15,0.000000e+00,0.000000e+00
8.660000e-01,1.885000e-15,0.000000e+00,0.000000e+00
1.000000e+00,1.937000e-15,0.000000e+00,0.000000e+00
1.155000e+00,1.970000e-15,0.000000e+00,0.000000e+00
1.334000e+00,1.983000e-15,0.000000e+00,0.000000e+00
1.540000e+00,1.972000e-15,0.000000e+00,0.000000e+00
1.778000e+00,1.938000e-15,0.000000e+00,0.000000e+00
2.054000e+00,1.881000e-15,0.000000e+00,0.000000e+00
2.371000e+00,1.802000e-15,0.000000e+00,0.000000e+00
2.738000e+00,1.705000e-15,0.000000e+00,0.000000e+00
3.162000e+00,1.594000e-15,0.000000e+00,0.000000e+00
3.652000e+00,1.472000e-15,0.000000e+00,0.000000e+00
4.217000e+00,1.345000e-15,0.000000e+00,0.000000e+00
4.870000e+00,1.216000e-15,0.000000e+00,0.000000e+00
5.623000e+00,1.089000e-15,0.000000e+00,0.000000e+00
6.494000e+00,9.666000e-16,0.000000e+00,0.000000e+00
7.499000e+00,8.506000e-16,0.000000e+00,0.000000e+00
8.660000e+00,7.422000e-16,0.000000e+00,0.000000e+00
1.000000e+01,6.417000e-16,0.000000e+00,0.000000e+00
1.155000e+01,5.494000e-16,0.000000e+00,0.000000e+00
1.334000e+01,4.649000e-16,0.000000e+00,0.000000e+00
1.540000e+01,3.878000e-16,0.000000e+00,0.000000e+00
1.778000e+01,3.179000e-16,0.000000e+00,0.000000e+00
2.054000e+01,2.550000e-16,0.000000e+00,0.000000e+00
2.371000e+01,1.994000e-16,0.000000e+00,0.000000e+00
2.738000e+01,1.512000e-16,0.000000e+00,0.000000e+00
3.162000e+01,1.110000e-16,0.000000e+00,0.000000e+00
3.652000e+01,7.877000e-17,0.000000e+00,0.000000e+00
4.217000e+01,5.406000e-17,0.000000e+00,0.000000e+00
4.870000e+01,3.599000e-17,0.000000e+00,0.000000e+00
5.623000e+01,2.335000e-17,0.000000e+00,0.000000e+00
6.494000e+01,1.482000e-17,0.000000e+00,0.000000e+00
7.499000e+01,9.254000e-18,0.000000e+00,0.000000e+00
8.660000e+01,5.704000e-18,0.000000e+00,0.000000e+00
1.000000e+02,3.483000e-18,0.000000e+00,0.000000e+00
1.155000e+02,2.112000e-18,0.000000e+00,0.000000e+00
1.334000e+02,1.275000e-18,0.000000e+00,0.000000e+00
1.540000e+02,7.666000e-19,0.000000e+00,0.000000e+00
1.778000e+02,4.599000e-19,0.000000e+00,0.000000e+00
2.054000e+02,2.755000e-19,0.000000e+00,0.000000e+00
2.370000e+02,1.651000e-19,0.000000e+00,0.000000e+00
