H+ + H2 (v=0) --> H2(v=3)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.371000e+00,1.192000e-18,0.000000e+00,0.000000e+00
2.738000e+00,2.725000e-18,0.000000e+00,0.000000e+00
3.162000e+00,4.457000e-18,0.000000e+00,0.000000e+00
3.652000e+00,6.424000e-18,0.000000e+00,0.000000e+00
4.217000e+00,8.663000e-18,0.000000e+00,0.000000e+00
4.870000e+00,1.121000e-17,0.000000e+00,0.000000e+00
5.623000e+00,1.410000e-17,0.000000e+00,0.000000e+00
6.494000e+00,1.738000e-17,0.000000e+00,0.000000e+00
7.499000e+00,2.106000e-17,0.000000e+00,0.000000e+00
8.660000e+00,2.520000e-17,0.000000e+00,0.000000e+00
1.000000e+01,2.978000e-17,0.000000e+00,0.000000e+00
1.155000e+01,3.480000e-17,0.000000e+00,0.000000e+00
1.334000e+01,4.021000e-17,0.000000e+00,0.000000e+00
1.540000e+01,4.590000e-17,0.000000e+00,0.000000e+00
1.778000e+01,5.172000e-17,0.000000e+00,0.000000e+00
2.054000e+01,5.743000e-17,0.000000e+00,0.000000e+00
2.371000e+01,6.271000e-17,0.000000e+00,0.000000e+00
2.738000e+01,6.721000e-17,0.000000e+00,0.000000e+00
3.162000e+01,7.058000e-17,0.000000e+00,0.000000e+00
3.652000e+01,7.252000e-17,0.000000e+00,0.000000e+00
4.217000e+01,7.284000e-17,0.000000e+00,0.000000e+00
4.870000e+01,7.153000e-17,0.000000e+00,0.000000e+00
5.623000e+01,6.874000e-17,0.000000e+00,0.000000e+00
6.494000e+01,6.476000e-17,0.000000e+00,0.000000e+00
7.499000e+01,5.993000e-17,0.000000e+00,0.000000e+00
8.660000e+01,5.460000e-17,0.000000e+00,0.000000e+00
1.000000e+02,4.911000e-17,0.000000e+00,0.000000e+00
1.155000e+02,4.368000e-17,0.000000e+00,0.000000e+00
1.334000e+02,3.850000e-17,0.000000e+00,0.000000e+00
1.540000e+02,3.369000e-17,0.000000e+00,0.000000e+00
1.778000e+02,2.929000e-17,0.000000e+00,0.000000e+00
2.054000e+02,2.534000e-17,0.000000e+00,0.000000e+00
2.371000e+02,2.182000e-17,0.000000e+00,0.000000e+00
2.738000e+02,1.872000e-17,0.000000e+00,0.000000e+00
3.162000e+02,1.599000e-17,0.000000e+00,0.000000e+00
3.652000e+02,1.362000e-17,0.000000e+00,0.000000e+00
4.217000e+02,1.156000e-17,0.000000e+00,0.000000e+00
4.870000e+02,9.783000e-18,0.000000e+00,0.000000e+00
5.623000e+02,8.249000e-18,0.000000e+00,0.000000e+00
6.494000e+02,6.932000e-18,0.000000e+00,0.000000e+00
7.499000e+02,5.805000e-18,0.000000e+00,0.000000e+00
8.660000e+02,4.844000e-18,0.000000e+00,0.000000e+00
1.000000e+03,4.027000e-18,0.000000e+00,0.000000e+00
1.155000e+03,3.334000e-18,0.000000e+00,0.000000e+00
1.334000e+03,2.750000e-18,0.000000e+00,0.000000e+00
1.540000e+03,2.259000e-18,0.000000e+00,0.000000e+00
1.778000e+03,1.848000e-18,0.000000e+00,0.000000e+00
2.054000e+03,1.505000e-18,0.000000e+00,0.000000e+00
2.371000e+03,1.221000e-18,0.000000e+00,0.000000e+00
2.738000e+03,9.865000e-19,0.000000e+00,0.000000e+00
3.160000e+03,7.946000e-19,0.000000e+00,0.000000e+00
