H+ + H2 --> e(total)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
7.499000e+01,1.018000e-19,0.000000e+00,0.000000e+00
8.660000e+01,1.285000e-19,0.000000e+00,0.000000e+00
1.000000e+02,1.606000e-19,0.000000e+00,0.000000e+00
1.155000e+02,1.992000e-19,0.000000e+00,0.000000e+00
1.334000e+02,2.454000e-19,0.000000e+00,0.000000e+00
1.540000e+02,3.007000e-19,0.000000e+00,0.000000e+00
1.778000e+02,3.670000e-19,0.000000e+00,0.000000e+00
2.054000e+02,4.462000e-19,0.000000e+00,0.000000e+00
2.371000e+02,5.409000e-19,0.000000e+00,0.000000e+00
2.738000e+02,6.541000e-19,0.000000e+00,0.000000e+00
3.162000e+02,7.892000e-19,0.000000e+00,0.000000e+00
3.652000e+02,9.504000e-19,0.000000e+00,0.000000e+00
4.217000e+02,1.143000e-18,0.000000e+00,0.000000e+00
4.870000e+02,1.372000e-18,0.000000e+00,0.000000e+00
5.623000e+02,1.646000e-18,0.000000e+00,0.000000e+00
6.494000e+02,1.973000e-18,0.000000e+00,0.000000e+00
7.499000e+02,2.362000e-18,0.000000e+00,0.000000e+00
8.660000e+02,2.827000e-18,0.000000e+00,0.000000e+00
1.000000e+03,3.380000e-18,0.000000e+00,0.000000e+00
1.155000e+03,4.039000e-18,0.000000e+00,0.000000e+00
1.334000e+03,4.825000e-18,0.000000e+00,0.000000e+00
1.540000e+03,5.761000e-18,0.000000e+00,0.000000e+00
1.778000e+03,6.877000e-18,0.000000e+00,0.000000e+00
2.054000e+03,8.205000e-18,0.000000e+00,0.000000e+00
2.371000e+03,9.786000e-18,0.000000e+00,0.000000e+00
2.738000e+03,1.167000e-17,0.000000e+00,0.000000e+00
3.162000e+03,1.391000e-17,0.000000e+00,0.000000e+00
3.652000e+03,1.657000e-17,0.000000e+00,0.000000e+00
4.217000e+03,1.973000e-17,0.000000e+00,0.000000e+00
4.870000e+03,2.348000e-17,0.000000e+00,0.000000e+00
5.623000e+03,2.793000e-17,0.000000e+00,0.000000e+00
6.494000e+03,3.319000e-17,0.000000e+00,0.000000e+00
7.499000e+03,3.939000e-17,0.000000e+00,0.000000e+00
8.660000e+03,4.669000e-17,0.000000e+00,0.000000e+00
1.000000e+04,5.522000e-17,0.000000e+00,0.000000e+00
1.155000e+04,6.514000e-17,0.000000e+00,0.000000e+00
1.334000e+04,7.658000e-17,0.000000e+00,0.000000e+00
1.540000e+04,8.962000e-17,0.000000e+00,0.000000e+00
1.778000e+04,1.043000e-16,0.000000e+00,0.000000e+00
2.054000e+04,1.204000e-16,0.000000e+00,0.000000e+00
2.371000e+04,1.376000e-16,0.000000e+00,0.000000e+00
2.738000e+04,1.555000e-16,0.000000e+00,0.000000e+00
3.162000e+04,1.731000e-16,0.000000e+00,0.000000e+00
3.652000e+04,1.893000e-16,0.000000e+00,0.000000e+00
4.217000e+04,2.030000e-16,0.000000e+00,0.000000e+00
4.870000e+04,2.131000e-16,0.000000e+00,0.000000e+00
5.623000e+04,2.185000e-16,0.000000e+00,0.000000e+00
6.494000e+04,2.191000e-16,0.000000e+00,0.000000e+00
7.499000e+04,2.148000e-16,0.000000e+00,0.000000e+00
8.660000e+04,2.064000e-16,0.000000e+00,0.000000e+00
1.000000e+05,1.948000e-16,0.000000e+00,0.000000e+00
