H+ + H2 --> (momentum transfer)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e-01,9.738000e-15,0.000000e+00,0.000000e+00
1.155000e-01,8.960000e-15,0.000000e+00,0.000000e+00
1.334000e-01,8.244000e-15,0.000000e+00,0.000000e+00
1.540000e-01,7.585000e-15,0.000000e+00,0.000000e+00
1.778000e-01,6.978000e-15,0.000000e+00,0.000000e+00
2.054000e-01,6.419000e-15,0.000000e+00,0.000000e+00
2.371000e-01,5.904000e-15,0.000000e+00,0.000000e+00
2.738000e-01,5.430000e-15,0.000000e+00,0.000000e+00
3.162000e-01,4.994000e-15,0.000000e+00,0.000000e+00
3.652000e-01,4.592000e-15,0.000000e+00,0.000000e+00
4.217000e-01,4.221000e-15,0.000000e+00,0.000000e+00
4.870000e-01,3.880000e-15,0.000000e+00,0.000000e+00
5.623000e-01,3.565000e-15,0.000000e+00,0.000000e+00
6.494000e-01,3.275000e-15,0.000000e+00,0.000000e+00
7.499000e-01,3.007000e-15,0.000000e+00,0.000000e+00
8.660000e-01,2.760000e-15,0.000000e+00,0.000000e+00
1.000000e+00,2.533000e-15,0.000000e+00,0.000000e+00
1.155000e+00,2.322000e-15,0.000000e+00,0.000000e+00
1.334000e+00,2.128000e-15,0.000000e+00,0.000000e+00
1.540000e+00,1.948000e-15,0.000000e+00,0.000000e+00
1.778000e+00,1.782000e-15,0.000000e+00,0.000000e+00
2.054000e+00,1.629000e-15,0.000000e+00,0.000000e+00
2.371000e+00,1.487000e-15,0.000000e+00,0.000000e+00
2.738000e+00,1.355000e-15,0.000000e+00,0.000000e+00
3.162000e+00,1.233000e-15,0.000000e+00,0.000000e+00
3.652000e+00,1.120000e-15,0.000000e+00,0.000000e+00
4.217000e+00,1.015000e-15,0.000000e+00,0.000000e+00
4.870000e+00,9.171000e-16,0.000000e+00,0.000000e+00
5.623000e+00,8.266000e-16,0.000000e+00,0.000000e+00
6.494000e+00,7.426000e-16,0.000000e+00,0.000000e+00
7.499000e+00,6.647000e-16,0.000000e+00,0.000000e+00
8.660000e+00,5.925000e-16,0.000000e+00,0.000000e+00
1.000000e+01,5.258000e-16,0.000000e+00,0.000000e+00
1.155000e+01,4.642000e-16,0.000000e+00,0.000000e+00
1.334000e+01,4.077000e-16,0.000000e+00,0.000000e+00
1.540000e+01,3.560000e-16,0.000000e+00,0.000000e+00
1.778000e+01,3.089000e-16,0.000000e+00,0.000000e+00
2.054000e+01,2.663000e-16,0.000000e+00,0.000000e+00
2.371000e+01,2.280000e-16,0.000000e+00,0.000000e+00
2.738000e+01,1.939000e-16,0.000000e+00,0.000000e+00
3.162000e+01,1.637000e-16,0.000000e+00,0.000000e+00
3.652000e+01,1.373000e-16,0.000000e+00,0.000000e+00
4.217000e+01,1.144000e-16,0.000000e+00,0.000000e+00
4.870000e+01,9.463000e-17,0.000000e+00,0.000000e+00
5.623000e+01,7.782000e-17,0.000000e+00,0.000000e+00
6.494000e+01,6.361000e-17,0.000000e+00,0.000000e+00
7.499000e+01,5.171000e-17,0.000000e+00,0.000000e+00
8.660000e+01,4.182000e-17,0.000000e+00,0.000000e+00
1.000000e+02,3.367000e-17,0.000000e+00,0.000000e+00
1.155000e+02,2.699000e-17,0.000000e+00,0.000000e+00
1.334000e+02,2.156000e-17,0.000000e+00,0.000000e+00
1.540000e+02,1.716000e-17,0.000000e+00,0.000000e+00
1.778000e+02,1.362000e-17,0.000000e+00,0.000000e+00
2.054000e+02,1.078000e-17,0.000000e+00,0.000000e+00
2.371000e+02,8.512000e-18,0.000000e+00,0.000000e+00
2.738000e+02,6.709000e-18,0.000000e+00,0.000000e+00
3.162000e+02,5.278000e-18,0.000000e+00,0.000000e+00
3.652000e+02,4.147000e-18,0.000000e+00,0.000000e+00
4.217000e+02,3.254000e-18,0.000000e+00,0.000000e+00
4.870000e+02,2.550000e-18,0.000000e+00,0.000000e+00
5.623000e+02,1.997000e-18,0.000000e+00,0.000000e+00
6.494000e+02,1.562000e-18,0.000000e+00,0.000000e+00
7.499000e+02,1.222000e-18,0.000000e+00,0.000000e+00
8.660000e+02,9.545000e-19,0.000000e+00,0.000000e+00
1.000000e+03,7.455000e-19,0.000000e+00,0.000000e+00
1.155000e+03,5.820000e-19,0.000000e+00,0.000000e+00
1.334000e+03,4.542000e-19,0.000000e+00,0.000000e+00
1.540000e+03,3.543000e-19,0.000000e+00,0.000000e+00
1.778000e+03,2.764000e-19,0.000000e+00,0.000000e+00
2.054000e+03,2.155000e-19,0.000000e+00,0.000000e+00
2.371000e+03,1.680000e-19,0.000000e+00,0.000000e+00
2.738000e+03,1.310000e-19,0.000000e+00,0.000000e+00
3.162000e+03,1.021000e-19,0.000000e+00,0.000000e+00
3.652000e+03,7.955000e-20,0.000000e+00,0.000000e+00
4.217000e+03,6.199000e-20,0.000000e+00,0.000000e+00
4.870000e+03,4.830000e-20,0.000000e+00,0.000000e+00
5.623000e+03,3.763000e-20,0.000000e+00,0.000000e+00
6.494000e+03,2.932000e-20,0.000000e+00,0.000000e+00
7.499000e+03,2.284000e-20,0.000000e+00,0.000000e+00
8.660000e+03,1.779000e-20,0.000000e+00,0.000000e+00
1.000000e+04,1.386000e-20,0.000000e+00,0.000000e+00
