H + H2 (J=0) --> H2(J=2)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e-01,6.999000e-19,0.000000e+00,0.000000e+00
1.155000e-01,8.118000e-19,0.000000e+00,0.000000e+00
1.334000e-01,9.463000e-19,0.000000e+00,0.000000e+00
1.540000e-01,1.111000e-18,0.000000e+00,0.000000e+00
1.778000e-01,1.317000e-18,0.000000e+00,0.000000e+00
2.054000e-01,1.582000e-18,0.000000e+00,0.000000e+00
2.371000e-01,1.936000e-18,0.000000e+00,0.000000e+00
2.738000e-01,2.426000e-18,0.000000e+00,0.000000e+00
3.162000e-01,3.127000e-18,0.000000e+00,0.000000e+00
3.652000e-01,4.165000e-18,0.000000e+00,0.000000e+00
4.217000e-01,5.740000e-18,0.000000e+00,0.000000e+00
4.870000e-01,8.169000e-18,0.000000e+00,0.000000e+00
5.623000e-01,1.193000e-17,0.000000e+00,0.000000e+00
6.494000e-01,1.772000e-17,0.000000e+00,0.000000e+00
7.499000e-01,2.641000e-17,0.000000e+00,0.000000e+00
8.660000e-01,3.890000e-17,0.000000e+00,0.000000e+00
1.000000e+00,5.573000e-17,0.000000e+00,0.000000e+00
1.155000e+00,7.658000e-17,0.000000e+00,0.000000e+00
1.334000e+00,9.999000e-17,0.000000e+00,0.000000e+00
1.540000e+00,1.238000e-16,0.000000e+00,0.000000e+00
1.778000e+00,1.461000e-16,0.000000e+00,0.000000e+00
2.054000e+00,1.657000e-16,0.000000e+00,0.000000e+00
2.371000e+00,1.826000e-16,0.000000e+00,0.000000e+00
2.738000e+00,1.970000e-16,0.000000e+00,0.000000e+00
3.162000e+00,2.097000e-16,0.000000e+00,0.000000e+00
3.652000e+00,2.211000e-16,0.000000e+00,0.000000e+00
4.217000e+00,2.317000e-16,0.000000e+00,0.000000e+00
4.870000e+00,2.418000e-16,0.000000e+00,0.000000e+00
5.623000e+00,2.515000e-16,0.000000e+00,0.000000e+00
6.494000e+00,2.610000e-16,0.000000e+00,0.000000e+00
7.499000e+00,2.701000e-16,0.000000e+00,0.000000e+00
8.660000e+00,2.790000e-16,0.000000e+00,0.000000e+00
1.000000e+01,2.875000e-16,0.000000e+00,0.000000e+00
1.155000e+01,2.954000e-16,0.000000e+00,0.000000e+00
1.334000e+01,3.026000e-16,0.000000e+00,0.000000e+00
1.540000e+01,3.089000e-16,0.000000e+00,0.000000e+00
1.778000e+01,3.141000e-16,0.000000e+00,0.000000e+00
2.054000e+01,3.180000e-16,0.000000e+00,0.000000e+00
2.371000e+01,3.203000e-16,0.000000e+00,0.000000e+00
2.738000e+01,3.207000e-16,0.000000e+00,0.000000e+00
3.162000e+01,3.191000e-16,0.000000e+00,0.000000e+00
3.652000e+01,3.153000e-16,0.000000e+00,0.000000e+00
4.217000e+01,3.092000e-16,0.000000e+00,0.000000e+00
4.870000e+01,3.008000e-16,0.000000e+00,0.000000e+00
5.623000e+01,2.902000e-16,0.000000e+00,0.000000e+00
6.494000e+01,2.776000e-16,0.000000e+00,0.000000e+00
7.499000e+01,2.632000e-16,0.000000e+00,0.000000e+00
8.660000e+01,2.473000e-16,0.000000e+00,0.000000e+00
1.000000e+02,2.305000e-16,0.000000e+00,0.000000e+00
1.155000e+02,2.130000e-16,0.000000e+00,0.000000e+00
1.334000e+02,1.954000e-16,0.000000e+00,0.000000e+00
1.540000e+02,1.779000e-16,0.000000e+00,0.000000e+00
1.778000e+02,1.609000e-16,0.000000e+00,0.000000e+00
2.054000e+02,1.447000e-16,0.000000e+00,0.000000e+00
2.371000e+02,1.294000e-16,0.000000e+00,0.000000e+00
2.738000e+02,1.151000e-16,0.000000e+00,0.000000e+00
3.162000e+02,1.020000e-16,0.000000e+00,0.000000e+00
3.652000e+02,9.010000e-17,0.000000e+00,0.000000e+00
4.217000e+02,7.931000e-17,0.000000e+00,0.000000e+00
4.870000e+02,6.962000e-17,0.000000e+00,0.000000e+00
5.623000e+02,6.098000e-17,0.000000e+00,0.000000e+00
6.494000e+02,5.331000e-17,0.000000e+00,0.000000e+00
7.499000e+02,4.652000e-17,0.000000e+00,0.000000e+00
8.660000e+02,4.055000e-17,0.000000e+00,0.000000e+00
1.000000e+03,3.530000e-17,0.000000e+00,0.000000e+00
1.155000e+03,3.069000e-17,0.000000e+00,0.000000e+00
1.334000e+03,2.667000e-17,0.000000e+00,0.000000e+00
1.540000e+03,2.316000e-17,0.000000e+00,0.000000e+00
1.778000e+03,2.010000e-17,0.000000e+00,0.000000e+00
2.054000e+03,1.743000e-17,0.000000e+00,0.000000e+00
2.371000e+03,1.511000e-17,0.000000e+00,0.000000e+00
2.738000e+03,1.310000e-17,0.000000e+00,0.000000e+00
3.162000e+03,1.135000e-17,0.000000e+00,0.000000e+00
3.652000e+03,9.834000e-18,0.000000e+00,0.000000e+00
4.217000e+03,8.518000e-18,0.000000e+00,0.000000e+00
4.870000e+03,7.376000e-18,0.000000e+00,0.000000e+00
5.623000e+03,6.387000e-18,0.000000e+00,0.000000e+00
6.494000e+03,5.530000e-18,0.000000e+00,0.000000e+00
7.499000e+03,4.788000e-18,0.000000e+00,0.000000e+00
8.660000e+03,4.144000e-18,0.000000e+00,0.000000e+00
1.000000e+04,3.587000e-18,0.000000e+00,0.000000e+00
