H + H2 --> (Ly-¦Á emission)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.371000e+01,2.052000e-18,0.000000e+00,0.000000e+00
2.738000e+01,4.337000e-18,0.000000e+00,0.000000e+00
3.162000e+01,7.077000e-18,0.000000e+00,0.000000e+00
3.652000e+01,1.029000e-17,0.000000e+00,0.000000e+00
4.217000e+01,1.401000e-17,0.000000e+00,0.000000e+00
4.870000e+01,1.825000e-17,0.000000e+00,0.000000e+00
5.623000e+01,2.302000e-17,0.000000e+00,0.000000e+00
6.494000e+01,2.830000e-17,0.000000e+00,0.000000e+00
7.499000e+01,3.408000e-17,0.000000e+00,0.000000e+00
8.660000e+01,4.026000e-17,0.000000e+00,0.000000e+00
1.000000e+02,4.676000e-17,0.000000e+00,0.000000e+00
1.155000e+02,5.345000e-17,0.000000e+00,0.000000e+00
1.334000e+02,6.016000e-17,0.000000e+00,0.000000e+00
1.540000e+02,6.674000e-17,0.000000e+00,0.000000e+00
1.778000e+02,7.302000e-17,0.000000e+00,0.000000e+00
2.054000e+02,7.886000e-17,0.000000e+00,0.000000e+00
2.371000e+02,8.415000e-17,0.000000e+00,0.000000e+00
2.738000e+02,8.880000e-17,0.000000e+00,0.000000e+00
3.162000e+02,9.278000e-17,0.000000e+00,0.000000e+00
3.652000e+02,9.608000e-17,0.000000e+00,0.000000e+00
4.217000e+02,9.869000e-17,0.000000e+00,0.000000e+00
4.870000e+02,1.006000e-16,0.000000e+00,0.000000e+00
5.623000e+02,1.020000e-16,0.000000e+00,0.000000e+00
6.494000e+02,1.027000e-16,0.000000e+00,0.000000e+00
7.499000e+02,1.028000e-16,0.000000e+00,0.000000e+00
8.660000e+02,1.023000e-16,0.000000e+00,0.000000e+00
1.000000e+03,1.013000e-16,0.000000e+00,0.000000e+00
1.155000e+03,9.977000e-17,0.000000e+00,0.000000e+00
1.334000e+03,9.781000e-17,0.000000e+00,0.000000e+00
1.540000e+03,9.547000e-17,0.000000e+00,0.000000e+00
1.778000e+03,9.281000e-17,0.000000e+00,0.000000e+00
2.054000e+03,8.990000e-17,0.000000e+00,0.000000e+00
2.371000e+03,8.679000e-17,0.000000e+00,0.000000e+00
2.738000e+03,8.356000e-17,0.000000e+00,0.000000e+00
3.162000e+03,8.025000e-17,0.000000e+00,0.000000e+00
3.652000e+03,7.691000e-17,0.000000e+00,0.000000e+00
4.217000e+03,7.357000e-17,0.000000e+00,0.000000e+00
4.870000e+03,7.028000e-17,0.000000e+00,0.000000e+00
5.623000e+03,6.705000e-17,0.000000e+00,0.000000e+00
6.494000e+03,6.390000e-17,0.000000e+00,0.000000e+00
7.499000e+03,6.085000e-17,0.000000e+00,0.000000e+00
8.660000e+03,5.791000e-17,0.000000e+00,0.000000e+00
1.000000e+04,5.507000e-17,0.000000e+00,0.000000e+00
1.155000e+04,5.235000e-17,0.000000e+00,0.000000e+00
1.334000e+04,4.975000e-17,0.000000e+00,0.000000e+00
1.540000e+04,4.726000e-17,0.000000e+00,0.000000e+00
1.778000e+04,4.488000e-17,0.000000e+00,0.000000e+00
2.054000e+04,4.261000e-17,0.000000e+00,0.000000e+00
2.371000e+04,4.046000e-17,0.000000e+00,0.000000e+00
2.500000e+04,3.969000e-17,0.000000e+00,0.000000e+00
