H- + H2 --> (momentum transfer)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e-01,2.924000e-15,0.000000e+00,0.000000e+00
1.155000e-01,2.761000e-15,0.000000e+00,0.000000e+00
1.334000e-01,2.605000e-15,0.000000e+00,0.000000e+00
1.540000e-01,2.457000e-15,0.000000e+00,0.000000e+00
1.778000e-01,2.315000e-15,0.000000e+00,0.000000e+00
2.054000e-01,2.180000e-15,0.000000e+00,0.000000e+00
2.371000e-01,2.052000e-15,0.000000e+00,0.000000e+00
2.738000e-01,1.930000e-15,0.000000e+00,0.000000e+00
3.162000e-01,1.813000e-15,0.000000e+00,0.000000e+00
3.652000e-01,1.702000e-15,0.000000e+00,0.000000e+00
4.217000e-01,1.596000e-15,0.000000e+00,0.000000e+00
4.870000e-01,1.496000e-15,0.000000e+00,0.000000e+00
5.623000e-01,1.400000e-15,0.000000e+00,0.000000e+00
6.494000e-01,1.310000e-15,0.000000e+00,0.000000e+00
7.499000e-01,1.223000e-15,0.000000e+00,0.000000e+00
8.660000e-01,1.142000e-15,0.000000e+00,0.000000e+00
1.000000e+00,1.064000e-15,0.000000e+00,0.000000e+00
1.155000e+00,9.902000e-16,0.000000e+00,0.000000e+00
1.334000e+00,9.204000e-16,0.000000e+00,0.000000e+00
1.540000e+00,8.543000e-16,0.000000e+00,0.000000e+00
1.778000e+00,7.918000e-16,0.000000e+00,0.000000e+00
2.054000e+00,7.327000e-16,0.000000e+00,0.000000e+00
2.371000e+00,6.769000e-16,0.000000e+00,0.000000e+00
2.738000e+00,6.242000e-16,0.000000e+00,0.000000e+00
3.162000e+00,5.745000e-16,0.000000e+00,0.000000e+00
3.652000e+00,5.277000e-16,0.000000e+00,0.000000e+00
4.217000e+00,4.837000e-16,0.000000e+00,0.000000e+00
4.870000e+00,4.423000e-16,0.000000e+00,0.000000e+00
5.623000e+00,4.035000e-16,0.000000e+00,0.000000e+00
6.494000e+00,3.671000e-16,0.000000e+00,0.000000e+00
7.499000e+00,3.331000e-16,0.000000e+00,0.000000e+00
8.660000e+00,3.013000e-16,0.000000e+00,0.000000e+00
1.000000e+01,2.716000e-16,0.000000e+00,0.000000e+00
1.155000e+01,2.440000e-16,0.000000e+00,0.000000e+00
1.334000e+01,2.184000e-16,0.000000e+00,0.000000e+00
1.540000e+01,1.946000e-16,0.000000e+00,0.000000e+00
1.778000e+01,1.727000e-16,0.000000e+00,0.000000e+00
2.054000e+01,1.526000e-16,0.000000e+00,0.000000e+00
2.371000e+01,1.341000e-16,0.000000e+00,0.000000e+00
2.738000e+01,1.173000e-16,0.000000e+00,0.000000e+00
3.162000e+01,1.020000e-16,0.000000e+00,0.000000e+00
3.652000e+01,8.825000e-17,0.000000e+00,0.000000e+00
4.217000e+01,7.588000e-17,0.000000e+00,0.000000e+00
4.870000e+01,6.485000e-17,0.000000e+00,0.000000e+00
5.623000e+01,5.509000e-17,0.000000e+00,0.000000e+00
6.494000e+01,4.651000e-17,0.000000e+00,0.000000e+00
7.499000e+01,3.903000e-17,0.000000e+00,0.000000e+00
8.660000e+01,3.255000e-17,0.000000e+00,0.000000e+00
1.000000e+02,2.699000e-17,0.000000e+00,0.000000e+00
1.155000e+02,2.225000e-17,0.000000e+00,0.000000e+00
1.334000e+02,1.824000e-17,0.000000e+00,0.000000e+00
1.540000e+02,1.488000e-17,0.000000e+00,0.000000e+00
1.778000e+02,1.207000e-17,0.000000e+00,0.000000e+00
2.054000e+02,9.754000e-18,0.000000e+00,0.000000e+00
2.371000e+02,7.847000e-18,0.000000e+00,0.000000e+00
2.738000e+02,6.287000e-18,0.000000e+00,0.000000e+00
3.162000e+02,5.020000e-18,0.000000e+00,0.000000e+00
3.652000e+02,3.995000e-18,0.000000e+00,0.000000e+00
4.217000e+02,3.169000e-18,0.000000e+00,0.000000e+00
4.870000e+02,2.508000e-18,0.000000e+00,0.000000e+00
5.623000e+02,1.980000e-18,0.000000e+00,0.000000e+00
6.494000e+02,1.560000e-18,0.000000e+00,0.000000e+00
7.499000e+02,1.226000e-18,0.000000e+00,0.000000e+00
8.660000e+02,9.628000e-19,0.000000e+00,0.000000e+00
1.000000e+03,7.546000e-19,0.000000e+00,0.000000e+00
1.155000e+03,5.907000e-19,0.000000e+00,0.000000e+00
1.334000e+03,4.619000e-19,0.000000e+00,0.000000e+00
1.540000e+03,3.608000e-19,0.000000e+00,0.000000e+00
1.778000e+03,2.815000e-19,0.000000e+00,0.000000e+00
2.054000e+03,2.195000e-19,0.000000e+00,0.000000e+00
2.371000e+03,1.711000e-19,0.000000e+00,0.000000e+00
2.738000e+03,1.332000e-19,0.000000e+00,0.000000e+00
3.162000e+03,1.037000e-19,0.000000e+00,0.000000e+00
3.652000e+03,8.069000e-20,0.000000e+00,0.000000e+00
4.217000e+03,6.275000e-20,0.000000e+00,0.000000e+00
4.870000e+03,4.878000e-20,0.000000e+00,0.000000e+00
5.623000e+03,3.792000e-20,0.000000e+00,0.000000e+00
6.494000e+03,2.946000e-20,0.000000e+00,0.000000e+00
7.499000e+03,2.289000e-20,0.000000e+00,0.000000e+00
8.660000e+03,1.777000e-20,0.000000e+00,0.000000e+00
1.000000e+04,1.380000e-20,0.000000e+00,0.000000e+00
