H+ + H2 --> H(3p)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.200000e+03,1.178000e-18,0.000000e+00,0.000000e+00
2.371000e+03,1.550000e-18,0.000000e+00,0.000000e+00
2.738000e+03,2.289000e-18,0.000000e+00,0.000000e+00
3.162000e+03,2.900000e-18,0.000000e+00,0.000000e+00
3.652000e+03,3.322000e-18,0.000000e+00,0.000000e+00
4.217000e+03,3.602000e-18,0.000000e+00,0.000000e+00
4.870000e+03,3.799000e-18,0.000000e+00,0.000000e+00
5.623000e+03,3.947000e-18,0.000000e+00,0.000000e+00
6.494000e+03,4.059000e-18,0.000000e+00,0.000000e+00
7.499000e+03,4.133000e-18,0.000000e+00,0.000000e+00
8.660000e+03,4.162000e-18,0.000000e+00,0.000000e+00
1.000000e+04,4.132000e-18,0.000000e+00,0.000000e+00
1.155000e+04,4.028000e-18,0.000000e+00,0.000000e+00
1.334000e+04,3.838000e-18,0.000000e+00,0.000000e+00
1.540000e+04,3.560000e-18,0.000000e+00,0.000000e+00
1.778000e+04,3.200000e-18,0.000000e+00,0.000000e+00
2.054000e+04,2.784000e-18,0.000000e+00,0.000000e+00
2.371000e+04,2.343000e-18,0.000000e+00,0.000000e+00
2.738000e+04,1.911000e-18,0.000000e+00,0.000000e+00
3.162000e+04,1.517000e-18,0.000000e+00,0.000000e+00
3.652000e+04,1.177000e-18,0.000000e+00,0.000000e+00
4.217000e+04,8.964000e-19,0.000000e+00,0.000000e+00
4.870000e+04,6.731000e-19,0.000000e+00,0.000000e+00
5.623000e+04,5.002000e-19,0.000000e+00,0.000000e+00
6.494000e+04,3.688000e-19,0.000000e+00,0.000000e+00
7.499000e+04,2.705000e-19,0.000000e+00,0.000000e+00
8.660000e+04,1.975000e-19,0.000000e+00,0.000000e+00
1.000000e+05,1.439000e-19,0.000000e+00,0.000000e+00
1.155000e+05,1.046000e-19,0.000000e+00,0.000000e+00
1.334000e+05,7.591000e-20,0.000000e+00,0.000000e+00
1.540000e+05,5.505000e-20,0.000000e+00,0.000000e+00
1.778000e+05,3.990000e-20,0.000000e+00,0.000000e+00
2.054000e+05,2.890000e-20,0.000000e+00,0.000000e+00
2.371000e+05,2.093000e-20,0.000000e+00,0.000000e+00
2.738000e+05,1.515000e-20,0.000000e+00,0.000000e+00
3.162000e+05,1.097000e-20,0.000000e+00,0.000000e+00
3.400000e+05,9.319000e-21,0.000000e+00,0.000000e+00
