H+ + H2 --> H(3d)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.400000e+03,4.194000e-19,0.000000e+00,0.000000e+00
1.540000e+03,4.514000e-19,0.000000e+00,0.000000e+00
1.778000e+03,5.044000e-19,0.000000e+00,0.000000e+00
2.054000e+03,5.634000e-19,0.000000e+00,0.000000e+00
2.371000e+03,6.289000e-19,0.000000e+00,0.000000e+00
2.738000e+03,7.014000e-19,0.000000e+00,0.000000e+00
3.162000e+03,7.813000e-19,0.000000e+00,0.000000e+00
3.652000e+03,8.685000e-19,0.000000e+00,0.000000e+00
4.217000e+03,9.629000e-19,0.000000e+00,0.000000e+00
4.870000e+03,1.063000e-18,0.000000e+00,0.000000e+00
5.623000e+03,1.167000e-18,0.000000e+00,0.000000e+00
6.494000e+03,1.270000e-18,0.000000e+00,0.000000e+00
7.499000e+03,1.365000e-18,0.000000e+00,0.000000e+00
8.660000e+03,1.444000e-18,0.000000e+00,0.000000e+00
1.000000e+04,1.494000e-18,0.000000e+00,0.000000e+00
1.155000e+04,1.503000e-18,0.000000e+00,0.000000e+00
1.334000e+04,1.463000e-18,0.000000e+00,0.000000e+00
1.540000e+04,1.371000e-18,0.000000e+00,0.000000e+00
1.778000e+04,1.235000e-18,0.000000e+00,0.000000e+00
2.054000e+04,1.071000e-18,0.000000e+00,0.000000e+00
2.371000e+04,8.976000e-19,0.000000e+00,0.000000e+00
2.738000e+04,7.300000e-19,0.000000e+00,0.000000e+00
3.162000e+04,5.793000e-19,0.000000e+00,0.000000e+00
3.652000e+04,4.501000e-19,0.000000e+00,0.000000e+00
4.217000e+04,3.430000e-19,0.000000e+00,0.000000e+00
4.870000e+04,2.558000e-19,0.000000e+00,0.000000e+00
5.623000e+04,1.855000e-19,0.000000e+00,0.000000e+00
6.494000e+04,1.292000e-19,0.000000e+00,0.000000e+00
7.499000e+04,8.513000e-20,0.000000e+00,0.000000e+00
8.660000e+04,5.248000e-20,0.000000e+00,0.000000e+00
1.000000e+05,3.051000e-20,0.000000e+00,0.000000e+00
1.155000e+05,1.742000e-20,0.000000e+00,0.000000e+00
1.334000e+05,1.045000e-20,0.000000e+00,0.000000e+00
1.540000e+05,6.991000e-21,0.000000e+00,0.000000e+00
1.778000e+05,5.236000e-21,0.000000e+00,0.000000e+00
2.054000e+05,4.206000e-21,0.000000e+00,0.000000e+00
2.371000e+05,3.458000e-21,0.000000e+00,0.000000e+00
2.738000e+05,2.831000e-21,0.000000e+00,0.000000e+00
3.000000e+05,2.474000e-21,0.000000e+00,0.000000e+00
