H + H2 --> H+(H+H+)+e
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
5.000000e+03,6.452000e-19,0.000000e+00,0.000000e+00
5.623000e+03,7.524000e-19,0.000000e+00,0.000000e+00
6.494000e+03,8.902000e-19,0.000000e+00,0.000000e+00
7.499000e+03,1.027000e-18,0.000000e+00,0.000000e+00
8.660000e+03,1.154000e-18,0.000000e+00,0.000000e+00
1.000000e+04,1.260000e-18,0.000000e+00,0.000000e+00
1.155000e+04,1.339000e-18,0.000000e+00,0.000000e+00
1.334000e+04,1.387000e-18,0.000000e+00,0.000000e+00
1.540000e+04,1.406000e-18,0.000000e+00,0.000000e+00
1.778000e+04,1.398000e-18,0.000000e+00,0.000000e+00
2.054000e+04,1.370000e-18,0.000000e+00,0.000000e+00
2.371000e+04,1.326000e-18,0.000000e+00,0.000000e+00
2.738000e+04,1.272000e-18,0.000000e+00,0.000000e+00
3.162000e+04,1.212000e-18,0.000000e+00,0.000000e+00
3.652000e+04,1.149000e-18,0.000000e+00,0.000000e+00
4.217000e+04,1.086000e-18,0.000000e+00,0.000000e+00
4.870000e+04,1.022000e-18,0.000000e+00,0.000000e+00
5.000000e+04,1.011000e-18,0.000000e+00,0.000000e+00
