H+ + D2 --> D++HD
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
4.500000e-01,1.195000e-15,0.000000e+00,0.000000e+00
4.870000e-01,1.100000e-15,0.000000e+00,0.000000e+00
5.623000e-01,9.425000e-16,0.000000e+00,0.000000e+00
6.494000e-01,8.022000e-16,0.000000e+00,0.000000e+00
7.499000e-01,6.776000e-16,0.000000e+00,0.000000e+00
8.660000e-01,5.674000e-16,0.000000e+00,0.000000e+00
1.000000e+00,4.705000e-16,0.000000e+00,0.000000e+00
1.155000e+00,3.859000e-16,0.000000e+00,0.000000e+00
1.334000e+00,3.126000e-16,0.000000e+00,0.000000e+00
1.540000e+00,2.500000e-16,0.000000e+00,0.000000e+00
1.778000e+00,1.972000e-16,0.000000e+00,0.000000e+00
2.054000e+00,1.535000e-16,0.000000e+00,0.000000e+00
2.371000e+00,1.179000e-16,0.000000e+00,0.000000e+00
2.738000e+00,8.940000e-17,0.000000e+00,0.000000e+00
3.162000e+00,6.712000e-17,0.000000e+00,0.000000e+00
3.652000e+00,5.003000e-17,0.000000e+00,0.000000e+00
4.217000e+00,3.720000e-17,0.000000e+00,0.000000e+00
4.870000e+00,2.781000e-17,0.000000e+00,0.000000e+00
5.623000e+00,2.114000e-17,0.000000e+00,0.000000e+00
6.494000e+00,1.659000e-17,0.000000e+00,0.000000e+00
7.499000e+00,1.366000e-17,0.000000e+00,0.000000e+00
8.660000e+00,1.191000e-17,0.000000e+00,0.000000e+00
1.000000e+01,1.098000e-17,0.000000e+00,0.000000e+00
1.155000e+01,1.051000e-17,0.000000e+00,0.000000e+00
1.334000e+01,1.019000e-17,0.000000e+00,0.000000e+00
1.540000e+01,9.838000e-18,0.000000e+00,0.000000e+00
1.778000e+01,9.338000e-18,0.000000e+00,0.000000e+00
2.054000e+01,8.687000e-18,0.000000e+00,0.000000e+00
2.371000e+01,7.934000e-18,0.000000e+00,0.000000e+00
2.738000e+01,7.137000e-18,0.000000e+00,0.000000e+00
3.162000e+01,6.347000e-18,0.000000e+00,0.000000e+00
3.652000e+01,5.596000e-18,0.000000e+00,0.000000e+00
4.217000e+01,4.903000e-18,0.000000e+00,0.000000e+00
4.870000e+01,4.274000e-18,0.000000e+00,0.000000e+00
5.623000e+01,3.708000e-18,0.000000e+00,0.000000e+00
6.494000e+01,3.204000e-18,0.000000e+00,0.000000e+00
7.499000e+01,2.755000e-18,0.000000e+00,0.000000e+00
8.660000e+01,2.357000e-18,0.000000e+00,0.000000e+00
1.000000e+02,2.004000e-18,0.000000e+00,0.000000e+00
