H + H2 --> H(H-¦¡)(target)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.000000e+03,1.895000e-18,0.000000e+00,0.000000e+00
2.054000e+03,1.900000e-18,0.000000e+00,0.000000e+00
2.371000e+03,1.909000e-18,0.000000e+00,0.000000e+00
2.738000e+03,1.900000e-18,0.000000e+00,0.000000e+00
3.162000e+03,1.885000e-18,0.000000e+00,0.000000e+00
3.652000e+03,1.876000e-18,0.000000e+00,0.000000e+00
4.217000e+03,1.884000e-18,0.000000e+00,0.000000e+00
4.870000e+03,1.915000e-18,0.000000e+00,0.000000e+00
5.623000e+03,1.977000e-18,0.000000e+00,0.000000e+00
6.494000e+03,2.070000e-18,0.000000e+00,0.000000e+00
7.499000e+03,2.196000e-18,0.000000e+00,0.000000e+00
8.660000e+03,2.349000e-18,0.000000e+00,0.000000e+00
1.000000e+04,2.521000e-18,0.000000e+00,0.000000e+00
1.155000e+04,2.700000e-18,0.000000e+00,0.000000e+00
1.334000e+04,2.869000e-18,0.000000e+00,0.000000e+00
1.540000e+04,3.007000e-18,0.000000e+00,0.000000e+00
1.778000e+04,3.093000e-18,0.000000e+00,0.000000e+00
2.054000e+04,3.113000e-18,0.000000e+00,0.000000e+00
2.371000e+04,3.058000e-18,0.000000e+00,0.000000e+00
2.738000e+04,2.932000e-18,0.000000e+00,0.000000e+00
3.162000e+04,2.746000e-18,0.000000e+00,0.000000e+00
3.652000e+04,2.519000e-18,0.000000e+00,0.000000e+00
4.217000e+04,2.270000e-18,0.000000e+00,0.000000e+00
4.870000e+04,2.015000e-18,0.000000e+00,0.000000e+00
5.623000e+04,1.769000e-18,0.000000e+00,0.000000e+00
6.494000e+04,1.538000e-18,0.000000e+00,0.000000e+00
7.499000e+04,1.329000e-18,0.000000e+00,0.000000e+00
8.660000e+04,1.142000e-18,0.000000e+00,0.000000e+00
1.000000e+05,9.778000e-19,0.000000e+00,0.000000e+00
