H + H2 --> H(H-¦¡)(projectile)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.000000e+03,1.581000e-17,0.000000e+00,0.000000e+00
2.054000e+03,1.556000e-17,0.000000e+00,0.000000e+00
2.371000e+03,1.403000e-17,0.000000e+00,0.000000e+00
2.738000e+03,1.243000e-17,0.000000e+00,0.000000e+00
3.162000e+03,1.092000e-17,0.000000e+00,0.000000e+00
3.652000e+03,9.591000e-18,0.000000e+00,0.000000e+00
4.217000e+03,8.507000e-18,0.000000e+00,0.000000e+00
4.870000e+03,7.682000e-18,0.000000e+00,0.000000e+00
5.623000e+03,7.111000e-18,0.000000e+00,0.000000e+00
6.494000e+03,6.776000e-18,0.000000e+00,0.000000e+00
7.499000e+03,6.648000e-18,0.000000e+00,0.000000e+00
8.660000e+03,6.685000e-18,0.000000e+00,0.000000e+00
1.000000e+04,6.831000e-18,0.000000e+00,0.000000e+00
1.155000e+04,7.011000e-18,0.000000e+00,0.000000e+00
1.334000e+04,7.144000e-18,0.000000e+00,0.000000e+00
1.540000e+04,7.153000e-18,0.000000e+00,0.000000e+00
1.778000e+04,6.995000e-18,0.000000e+00,0.000000e+00
2.054000e+04,6.674000e-18,0.000000e+00,0.000000e+00
2.371000e+04,6.235000e-18,0.000000e+00,0.000000e+00
2.738000e+04,5.748000e-18,0.000000e+00,0.000000e+00
3.162000e+04,5.280000e-18,0.000000e+00,0.000000e+00
3.652000e+04,4.880000e-18,0.000000e+00,0.000000e+00
4.217000e+04,4.578000e-18,0.000000e+00,0.000000e+00
4.870000e+04,4.380000e-18,0.000000e+00,0.000000e+00
5.623000e+04,4.278000e-18,0.000000e+00,0.000000e+00
6.494000e+04,4.244000e-18,0.000000e+00,0.000000e+00
7.499000e+04,4.237000e-18,0.000000e+00,0.000000e+00
8.660000e+04,4.209000e-18,0.000000e+00,0.000000e+00
1.000000e+05,4.114000e-18,0.000000e+00,0.000000e+00
