H (2s) + H2 --> H(Ly-¦¡)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
7.000000e+03,1.459000e-16,0.000000e+00,0.000000e+00
7.499000e+03,1.481000e-16,0.000000e+00,0.000000e+00
8.660000e+03,1.497000e-16,0.000000e+00,0.000000e+00
1.000000e+04,1.490000e-16,0.000000e+00,0.000000e+00
1.155000e+04,1.469000e-16,0.000000e+00,0.000000e+00
1.334000e+04,1.428000e-16,0.000000e+00,0.000000e+00
1.540000e+04,1.362000e-16,0.000000e+00,0.000000e+00
1.778000e+04,1.276000e-16,0.000000e+00,0.000000e+00
2.054000e+04,1.179000e-16,0.000000e+00,0.000000e+00
2.371000e+04,1.079000e-16,0.000000e+00,0.000000e+00
2.600000e+04,1.016000e-16,0.000000e+00,0.000000e+00
