H+ + H2 --> H(H-¦¢)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
5.000000e+03,1.737000e-19,0.000000e+00,0.000000e+00
5.623000e+03,2.131000e-19,0.000000e+00,0.000000e+00
6.494000e+03,2.680000e-19,0.000000e+00,0.000000e+00
7.499000e+03,3.270000e-19,0.000000e+00,0.000000e+00
8.660000e+03,3.839000e-19,0.000000e+00,0.000000e+00
1.000000e+04,4.309000e-19,0.000000e+00,0.000000e+00
1.155000e+04,4.611000e-19,0.000000e+00,0.000000e+00
1.334000e+04,4.708000e-19,0.000000e+00,0.000000e+00
1.540000e+04,4.611000e-19,0.000000e+00,0.000000e+00
1.778000e+04,4.365000e-19,0.000000e+00,0.000000e+00
2.054000e+04,4.025000e-19,0.000000e+00,0.000000e+00
2.371000e+04,3.643000e-19,0.000000e+00,0.000000e+00
2.738000e+04,3.254000e-19,0.000000e+00,0.000000e+00
3.162000e+04,2.880000e-19,0.000000e+00,0.000000e+00
3.652000e+04,2.534000e-19,0.000000e+00,0.000000e+00
4.217000e+04,2.221000e-19,0.000000e+00,0.000000e+00
4.870000e+04,1.942000e-19,0.000000e+00,0.000000e+00
5.623000e+04,1.695000e-19,0.000000e+00,0.000000e+00
6.494000e+04,1.479000e-19,0.000000e+00,0.000000e+00
7.499000e+04,1.290000e-19,0.000000e+00,0.000000e+00
8.660000e+04,1.125000e-19,0.000000e+00,0.000000e+00
1.000000e+05,9.817000e-20,0.000000e+00,0.000000e+00
1.155000e+05,8.579000e-20,0.000000e+00,0.000000e+00
1.334000e+05,7.512000e-20,0.000000e+00,0.000000e+00
1.540000e+05,6.595000e-20,0.000000e+00,0.000000e+00
1.778000e+05,5.810000e-20,0.000000e+00,0.000000e+00
2.054000e+05,5.139000e-20,0.000000e+00,0.000000e+00
2.371000e+05,4.563000e-20,0.000000e+00,0.000000e+00
2.738000e+05,4.064000e-20,0.000000e+00,0.000000e+00
3.162000e+05,3.622000e-20,0.000000e+00,0.000000e+00
3.652000e+05,3.224000e-20,0.000000e+00,0.000000e+00
4.217000e+05,2.861000e-20,0.000000e+00,0.000000e+00
4.870000e+05,2.529000e-20,0.000000e+00,0.000000e+00
5.623000e+05,2.226000e-20,0.000000e+00,0.000000e+00
6.494000e+05,1.953000e-20,0.000000e+00,0.000000e+00
7.499000e+05,1.709000e-20,0.000000e+00,0.000000e+00
8.660000e+05,1.493000e-20,0.000000e+00,0.000000e+00
1.000000e+06,1.302000e-20,0.000000e+00,0.000000e+00
